scenario,policy,n_seed_blocks,traces_per_seed,mean_difference,ci95_low,ci95_high,familywise_95_upper_bound,relative_improvement_percent,negative_seed_blocks,positive_seed_blocks,exact_sign_p,holm_adjusted_p_30,individual_ci_below_zero,holm_supported
nominal,standard_dqn,20,20,-12.498291627127092,-12.979686254780166,-11.977495959659377,-11.601938302615338,13.760427722273182,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
nominal,full_action_q_dqn,20,20,-12.687371620401157,-13.22973985996901,-12.109131858282643,-11.791018295889403,13.968601899896667,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
nominal,immediate_advantage_dqn,20,20,-12.987219124148945,-13.490175410237349,-12.461274483718288,-12.090865799637191,14.298729410609416,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
nominal,centered_full_action_dqn,20,20,-13.166683936600922,-13.65656690035151,-12.66897305071915,-12.270330612089168,14.496317421364164,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
nominal,double_dqn,20,20,-12.430002988080838,-13.006170597490717,-11.815841808082629,-11.533649663569085,13.685242976238866,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
nominal,double_centered_full_action_dqn,20,20,-13.09844333269761,-13.596563786058843,-12.609865682056164,-12.202090008185856,14.421185561286766,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
burst,standard_dqn,20,20,-10.98671831017681,-11.446851646157834,-10.500523990327217,-10.090364985665056,10.140273825350686,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
burst,full_action_q_dqn,20,20,-11.134114214946932,-11.63786131089335,-10.620847643676846,-10.237760890435178,10.276313977915615,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
burst,immediate_advantage_dqn,20,20,-11.123532708825028,-11.574508438050705,-10.699303305224165,-10.227179384313274,10.266547697709694,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
burst,centered_full_action_dqn,20,20,-11.462524791366837,-11.879761306275883,-11.032211998425039,-10.566171466855083,10.579422975345214,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
burst,double_dqn,20,20,-10.737461625190459,-11.273507092287877,-10.128475392623061,-9.841108300678705,9.910220503949011,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
burst,double_centered_full_action_dqn,20,20,-11.444992984510364,-11.902105572262064,-10.992892770724408,-10.54863965999861,10.56324186310052,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
link_limited,standard_dqn,20,20,-13.470963369342371,-13.905843610277472,-13.034338816581482,-12.574610044830617,11.63980052018994,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
link_limited,full_action_q_dqn,20,20,-13.560908702744978,-13.987232515968937,-13.117835461547541,-12.664555378233224,11.71751921853567,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
link_limited,immediate_advantage_dqn,20,20,-13.780523748322263,-14.196352356334366,-13.347638349582368,-12.88417042381051,11.907281097598434,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
link_limited,centered_full_action_dqn,20,20,-13.93408125051005,-14.264372189405321,-13.611526914673737,-13.037727925998297,12.039964903859255,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
link_limited,double_dqn,20,20,-13.145175485295116,-13.669536791121141,-12.583252874174462,-12.248822160783362,11.35829830848955,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
link_limited,double_centered_full_action_dqn,20,20,-13.81991210202022,-14.207248797534511,-13.416439994826643,-12.923558777508466,11.941315232150851,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
energy_limited,standard_dqn,20,20,-6.323924723407448,-6.970063598343633,-5.599384087748193,-5.427571398895694,5.019061082428715,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
energy_limited,full_action_q_dqn,20,20,-6.214603151494832,-6.924143777753742,-5.45429296077653,-5.318249826983078,4.932296664594074,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
energy_limited,immediate_advantage_dqn,20,20,-6.8321722393056445,-7.569016865294704,-6.040415259201671,-5.935818914793891,5.422438010342434,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
energy_limited,centered_full_action_dqn,20,20,-7.002344195336296,-7.544522464315628,-6.423335929402441,-6.1059908708245425,5.557497088239555,20,0,1.9073486328125e-06,5.7220458984375e-05,True,True
