scenario,comparison,n_pairs,mean_difference,ci95_low,ci95_high,relative_improvement_percent,exact_sign_p,negative_seed_pairs,positive_seed_pairs,loo_mean_min,loo_mean_max,holm_adjusted_p,in_prespecified_family,mean_better,supported
burst,full_action_q_dqn - standard_dqn,20,-0.14739590477012215,-0.4447393237433844,0.20872024768302017,0.15139168385681973,0.26317596435546875,13,7,-0.2811230926862683,-0.07984532599778722,1.0,True,True,False
burst,centered_full_action_dqn - standard_dqn,20,-0.47580648119002616,-0.7385586277416907,-0.2795765081195158,0.48870519496242976,0.0025768280029296875,17,3,-0.5078155502206414,-0.37069402635097576,0.012884140014648438,True,True,True
burst,centered_full_action_dqn - full_action_q_dqn,20,-0.328410576419904,-0.6946565725990107,-0.05307204362382189,0.33782494998588214,0.26317596435546875,13,7,-0.3688297405505643,-0.18436263359886895,0.7895278930664062,True,True,False
burst,immediate_advantage_dqn - standard_dqn,20,-0.13681439864821812,-0.5176194949370353,0.18398379925559052,0.14052332199809173,0.5034446716308594,8,12,-0.1930541875036931,-0.004788115828446101,1.0,True,True,False
burst,centered_full_action_dqn - immediate_advantage_dqn,20,-0.33899208254180807,-0.5779990917307334,-0.09526851764409547,0.3486718382142686,0.01181793212890625,16,4,-0.40495809701124286,-0.2724315387814441,0.05908966064453125,True,True,False
burst,double_centered_full_action_dqn - double_dqn,20,-0.7075313593199063,-1.2713482155333882,-0.31741801025265776,0.7248562076679677,0.0025768280029296875,17,3,-0.7710635202195263,-0.4775014407240196,0.012884140014648438,True,True,True
energy_limited,full_action_q_dqn - standard_dqn,20,0.10932157191261496,-0.3992317577532503,0.6424201315726138,-0.09134929473579817,0.26317596435546875,7,13,-0.048411420458243606,0.2588625398337046,1.0,True,False,False
energy_limited,centered_full_action_dqn - standard_dqn,20,-0.6784194719288493,-1.1788255394537943,-0.20976519817747122,0.5668884851497615,0.01181793212890625,16,4,-0.7893851605469452,-0.5147621325207379,0.03545379638671875,True,True,True
energy_limited,centered_full_action_dqn - full_action_q_dqn,20,-0.7877410438414643,-1.3598416634467427,-0.2649618282367452,0.6576370330939069,0.04138946533203125,15,5,-0.8939794924443469,-0.5898584766117343,0.20694732666015625,True,True,False
energy_limited,immediate_advantage_dqn - standard_dqn,20,-0.508247515898195,-1.0697881560038742,0.022549749585895645,0.4246925041073618,0.26317596435546875,13,7,-0.6175891991939954,-0.35997741332179306,1.0,True,True,False
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,20,-0.17017195603065433,-0.646500110267383,0.2948389452233408,0.14280245235322528,1.0,10,10,-0.2649037108825249,-0.06791084131324142,1.0,True,True,False
energy_limited,double_centered_full_action_dqn - double_dqn,20,-1.0046722510177652,-1.7281451229184883,-0.362675512075003,0.836700774508215,0.11531829833984375,14,6,-1.14733364729701,-0.779370635812613,0.2306365966796875,True,True,False
link_limited,full_action_q_dqn - standard_dqn,20,-0.08994533340260205,-0.4109345571361452,0.21747089322088212,0.0879566805001226,0.5034446716308594,12,8,-0.15484120076031915,-0.0005069722313605421,1.0,True,True,False
link_limited,centered_full_action_dqn - standard_dqn,20,-0.4631178811676797,-0.7600194073641644,-0.1734768338723125,0.4528785426302166,0.04138946533203125,15,5,-0.5202558416716354,-0.3837543093962097,0.0827789306640625,True,True,False
link_limited,centered_full_action_dqn - full_action_q_dqn,20,-0.3731725477650777,-0.6788331927471797,-0.09265989684444073,0.36524311785231195,0.11531829833984375,14,6,-0.4202512492121855,-0.30174299318147446,0.461273193359375,True,True,False
link_limited,immediate_advantage_dqn - standard_dqn,20,-0.3095603789798929,-0.6768820288592945,0.029121270941006975,0.30271613122558766,1.0,10,10,-0.35803847444684994,-0.21013051053411252,1.0,True,True,False
link_limited,centered_full_action_dqn - immediate_advantage_dqn,20,-0.1535575021877868,-0.36493246607156077,0.053367881341559086,0.15061835746927546,0.8238029479980469,11,9,-0.20645487143412827,-0.10240142055639985,1.0,True,True,False
link_limited,double_centered_full_action_dqn - double_dqn,20,-0.6747366167251017,-1.2728397452461042,-0.18554490237152077,0.6577230722513724,0.11531829833984375,14,6,-0.7673916320189046,-0.4450216468247142,0.2306365966796875,True,True,False
nominal,full_action_q_dqn - standard_dqn,20,-0.18907999327406202,-0.5583730546887927,0.2837690646214855,0.2413905497502648,0.01181793212890625,16,4,-0.36806248245662604,-0.11403371599747913,0.05908966064453125,True,True,False
nominal,centered_full_action_dqn - standard_dqn,20,-0.6683923094738262,-0.9882139840812844,-0.39893783739586336,0.8533086141952445,0.0025768280029296875,17,3,-0.7138736944547595,-0.5456511120047218,0.012884140014648438,True,True,True
nominal,centered_full_action_dqn - full_action_q_dqn,20,-0.47931231619976417,-0.9634985918580534,-0.10119629373499268,0.6133987510623304,0.26317596435546875,13,7,-0.5514667344544274,-0.2851690999438103,0.7895278930664062,True,True,False
nominal,immediate_advantage_dqn - standard_dqn,20,-0.488927497021853,-0.9042191629787889,-0.12153891630065726,0.6241933652020939,0.26317596435546875,13,7,-0.5764696058238793,-0.35666979333091614,1.0,True,True,False
nominal,centered_full_action_dqn - immediate_advantage_dqn,20,-0.17946481245197318,-0.49124350868342165,0.11474427947080121,0.23055435397383997,0.8238029479980469,11,9,-0.2459676818804514,-0.07676197657655705,1.0,True,True,False
nominal,double_centered_full_action_dqn - double_dqn,20,-0.6684403446167707,-1.1767513602625597,-0.23899967396510685,0.8526266080379598,0.01181793212890625,16,4,-0.7407024987277238,-0.4922142794061647,0.03545379638671875,True,True,True
thermal_stress,full_action_q_dqn - standard_dqn,20,-0.14581658233888534,-0.4552777096844297,0.2048754868786296,0.14947676362725393,0.26317596435546875,13,7,-0.2739985299208456,-0.07128203622800892,1.0,True,True,False
thermal_stress,centered_full_action_dqn - standard_dqn,20,-0.44755786625854627,-0.7426719819896368,-0.22315778221329544,0.45879213674593544,0.04138946533203125,15,5,-0.48200957836485187,-0.3280633567371654,0.0827789306640625,True,True,False
thermal_stress,centered_full_action_dqn - full_action_q_dqn,20,-0.30174128391966093,-0.6335665418807382,-0.03661730391606515,0.30977841987512655,0.5034446716308594,12,8,-0.33943279762801193,-0.179780521926126,0.7895278930664062,True,True,False
thermal_stress,immediate_advantage_dqn - standard_dqn,20,-0.15526783476327283,-0.553295784617338,0.18038557007074477,0.15916525448310453,1.0,10,10,-0.20827616565247808,-0.010269693966805741,1.0,True,True,False
thermal_stress,centered_full_action_dqn - immediate_advantage_dqn,20,-0.29229003149527344,-0.49979243820454117,-0.07534540929946687,0.30010454442467976,0.01181793212890625,16,4,-0.3486385014405695,-0.24550288619449354,0.05908966064453125,True,True,False
thermal_stress,double_centered_full_action_dqn - double_dqn,20,-0.6626093461451632,-1.1885228944022974,-0.2931913063999889,0.6775404169328401,0.0025768280029296875,17,3,-0.7233122008228725,-0.45064417020403513,0.012884140014648438,True,True,True
