scenario,comparison,model_seed,difference
burst,full_action_q_dqn - standard_dqn,800,0.027675012499088325
burst,full_action_q_dqn - standard_dqn,801,-0.22885389998555183
burst,full_action_q_dqn - standard_dqn,802,-0.11814755685628597
burst,full_action_q_dqn - standard_dqn,803,-0.1806824406981491
burst,full_action_q_dqn - standard_dqn,804,0.2125417721271532
burst,full_action_q_dqn - standard_dqn,805,-0.022231493890288334
burst,full_action_q_dqn - standard_dqn,806,-0.5089044371992344
burst,full_action_q_dqn - standard_dqn,807,-0.787922790274024
burst,full_action_q_dqn - standard_dqn,808,-1.1054119279980625
burst,full_action_q_dqn - standard_dqn,809,0.14800386205315874
burst,full_action_q_dqn - standard_dqn,810,0.00620984353123788
burst,full_action_q_dqn - standard_dqn,811,2.393420665636654
burst,full_action_q_dqn - standard_dqn,812,-0.10098061360417887
burst,full_action_q_dqn - standard_dqn,813,0.5645275164395542
burst,full_action_q_dqn - standard_dqn,814,-0.6397993590682773
burst,full_action_q_dqn - standard_dqn,815,-1.4308569014444856
burst,full_action_q_dqn - standard_dqn,816,-0.8052215222269297
burst,full_action_q_dqn - standard_dqn,817,-0.1623690315336006
burst,full_action_q_dqn - standard_dqn,818,-0.23154324792325554
burst,full_action_q_dqn - standard_dqn,819,0.022628455013034454
burst,centered_full_action_dqn - standard_dqn,800,0.12199328251183772
burst,centered_full_action_dqn - standard_dqn,801,-0.6193551585823229
burst,centered_full_action_dqn - standard_dqn,802,-0.15594537176191636
burst,centered_full_action_dqn - standard_dqn,803,-0.43534963130952065
burst,centered_full_action_dqn - standard_dqn,804,-0.6233107230812323
burst,centered_full_action_dqn - standard_dqn,805,-0.5838013333082301
burst,centered_full_action_dqn - standard_dqn,806,-0.44112881511449586
burst,centered_full_action_dqn - standard_dqn,807,-0.3483692482113838
burst,centered_full_action_dqn - standard_dqn,808,-0.8238758937269495
burst,centered_full_action_dqn - standard_dqn,809,0.13236583039166305
burst,centered_full_action_dqn - standard_dqn,810,-0.7789083644002659
burst,centered_full_action_dqn - standard_dqn,811,-0.6719008243829165
burst,centered_full_action_dqn - standard_dqn,812,-0.03497650347649994
burst,centered_full_action_dqn - standard_dqn,813,0.003190111368894577
burst,centered_full_action_dqn - standard_dqn,814,-0.3708987347781658
burst,centered_full_action_dqn - standard_dqn,815,-2.4729431231319836
burst,centered_full_action_dqn - standard_dqn,816,-0.49798560187221597
burst,centered_full_action_dqn - standard_dqn,817,-0.2619874890148708
burst,centered_full_action_dqn - standard_dqn,818,-0.3212868009507588
burst,centered_full_action_dqn - standard_dqn,819,-0.33165523096919003
burst,centered_full_action_dqn - full_action_q_dqn,800,0.0943182700127494
burst,centered_full_action_dqn - full_action_q_dqn,801,-0.3905012585967711
burst,centered_full_action_dqn - full_action_q_dqn,802,-0.03779781490563039
burst,centered_full_action_dqn - full_action_q_dqn,803,-0.25466719061137155
burst,centered_full_action_dqn - full_action_q_dqn,804,-0.8358524952083854
burst,centered_full_action_dqn - full_action_q_dqn,805,-0.5615698394179418
burst,centered_full_action_dqn - full_action_q_dqn,806,0.06777562208473853
burst,centered_full_action_dqn - full_action_q_dqn,807,0.4395535420626402
burst,centered_full_action_dqn - full_action_q_dqn,808,0.28153603427111307
burst,centered_full_action_dqn - full_action_q_dqn,809,-0.015638031661495688
burst,centered_full_action_dqn - full_action_q_dqn,810,-0.7851182079315038
burst,centered_full_action_dqn - full_action_q_dqn,811,-3.0653214900195707
burst,centered_full_action_dqn - full_action_q_dqn,812,0.06600411012767893
burst,centered_full_action_dqn - full_action_q_dqn,813,-0.5613374050706597
burst,centered_full_action_dqn - full_action_q_dqn,814,0.2689006242901115
burst,centered_full_action_dqn - full_action_q_dqn,815,-1.042086221687498
burst,centered_full_action_dqn - full_action_q_dqn,816,0.3072359203547137
burst,centered_full_action_dqn - full_action_q_dqn,817,-0.09961845748127018
burst,centered_full_action_dqn - full_action_q_dqn,818,-0.08974355302750325
burst,centered_full_action_dqn - full_action_q_dqn,819,-0.3542836859822245
burst,immediate_advantage_dqn - standard_dqn,800,0.5414713189005909
burst,immediate_advantage_dqn - standard_dqn,801,0.12837616808712937
burst,immediate_advantage_dqn - standard_dqn,802,0.3111175567656801
burst,immediate_advantage_dqn - standard_dqn,803,-0.13505960814654827
burst,immediate_advantage_dqn - standard_dqn,804,0.3555986997485121
burst,immediate_advantage_dqn - standard_dqn,805,-0.08953053057193472
burst,immediate_advantage_dqn - standard_dqn,806,-0.3427744860947115
burst,immediate_advantage_dqn - standard_dqn,807,0.4363563403487234
burst,immediate_advantage_dqn - standard_dqn,808,-1.4992963283509084
burst,immediate_advantage_dqn - standard_dqn,809,0.014674353227036363
burst,immediate_advantage_dqn - standard_dqn,810,-0.5745519623905437
burst,immediate_advantage_dqn - standard_dqn,811,0.9317415896058066
burst,immediate_advantage_dqn - standard_dqn,812,0.06313282191753444
burst,immediate_advantage_dqn - standard_dqn,813,0.3228399951755989
burst,immediate_advantage_dqn - standard_dqn,814,-1.285260927155619
burst,immediate_advantage_dqn - standard_dqn,815,-2.6453137722238864
burst,immediate_advantage_dqn - standard_dqn,816,-0.13893260814251107
burst,immediate_advantage_dqn - standard_dqn,817,0.4105968800187014
burst,immediate_advantage_dqn - standard_dqn,818,0.19400834389030308
burst,immediate_advantage_dqn - standard_dqn,819,0.26451818242668423
burst,centered_full_action_dqn - immediate_advantage_dqn,800,-0.41947803638875314
burst,centered_full_action_dqn - immediate_advantage_dqn,801,-0.7477313266694523
burst,centered_full_action_dqn - immediate_advantage_dqn,802,-0.46706292852759645
burst,centered_full_action_dqn - immediate_advantage_dqn,803,-0.3002900231629724
burst,centered_full_action_dqn - immediate_advantage_dqn,804,-0.9789094228297444
burst,centered_full_action_dqn - immediate_advantage_dqn,805,-0.4942708027362954
burst,centered_full_action_dqn - immediate_advantage_dqn,806,-0.09835432901978436
burst,centered_full_action_dqn - immediate_advantage_dqn,807,-0.7847255885601072
burst,centered_full_action_dqn - immediate_advantage_dqn,808,0.675420434623959
burst,centered_full_action_dqn - immediate_advantage_dqn,809,0.11769147716462669
burst,centered_full_action_dqn - immediate_advantage_dqn,810,-0.20435640200972216
burst,centered_full_action_dqn - immediate_advantage_dqn,811,-1.603642413988723
burst,centered_full_action_dqn - immediate_advantage_dqn,812,-0.09810932539403439
burst,centered_full_action_dqn - immediate_advantage_dqn,813,-0.31964988380670434
burst,centered_full_action_dqn - immediate_advantage_dqn,814,0.9143621923774532
burst,centered_full_action_dqn - immediate_advantage_dqn,815,0.1723706490919028
burst,centered_full_action_dqn - immediate_advantage_dqn,816,-0.3590529937297049
burst,centered_full_action_dqn - immediate_advantage_dqn,817,-0.6725843690335722
burst,centered_full_action_dqn - immediate_advantage_dqn,818,-0.5152951448410619
burst,centered_full_action_dqn - immediate_advantage_dqn,819,-0.5961734133958743
burst,double_centered_full_action_dqn - double_dqn,800,-0.08748504534364088
burst,double_centered_full_action_dqn - double_dqn,801,-0.5405640327930428
burst,double_centered_full_action_dqn - double_dqn,802,-0.2559240218997161
burst,double_centered_full_action_dqn - double_dqn,803,-1.0759015350043768
burst,double_centered_full_action_dqn - double_dqn,804,-0.6626382324844542
burst,double_centered_full_action_dqn - double_dqn,805,-0.09127440739264614
burst,double_centered_full_action_dqn - double_dqn,806,-1.555243926793338
burst,double_centered_full_action_dqn - double_dqn,807,0.3364355903118934
burst,double_centered_full_action_dqn - double_dqn,808,-0.593245580643412
burst,double_centered_full_action_dqn - double_dqn,809,-0.2603196752071426
burst,double_centered_full_action_dqn - double_dqn,810,-0.8692634961754067
burst,double_centered_full_action_dqn - double_dqn,811,-0.6170701263099829
burst,double_centered_full_action_dqn - double_dqn,812,-0.49476235605776253
burst,double_centered_full_action_dqn - double_dqn,813,0.02119110502302135
burst,double_centered_full_action_dqn - double_dqn,814,0.49957969777287303
burst,double_centered_full_action_dqn - double_dqn,815,-5.078099812641753
burst,double_centered_full_action_dqn - double_dqn,816,-0.7256214733317705
burst,double_centered_full_action_dqn - double_dqn,817,-0.4044076064974007
burst,double_centered_full_action_dqn - double_dqn,818,-0.7512147191911964
burst,double_centered_full_action_dqn - double_dqn,819,-0.944797531738871
energy_limited,full_action_q_dqn - standard_dqn,800,0.05582239672541789
energy_limited,full_action_q_dqn - standard_dqn,801,0.43330047242342573
energy_limited,full_action_q_dqn - standard_dqn,802,1.127063881829386
energy_limited,full_action_q_dqn - standard_dqn,803,-1.4132079409062897
energy_limited,full_action_q_dqn - standard_dqn,804,0.30906201452016546
energy_limited,full_action_q_dqn - standard_dqn,805,0.0013218461722033226
energy_limited,full_action_q_dqn - standard_dqn,806,0.3759330379962904
energy_limited,full_action_q_dqn - standard_dqn,807,-0.479586074128747
energy_limited,full_action_q_dqn - standard_dqn,808,-1.278126553073534
energy_limited,full_action_q_dqn - standard_dqn,809,1.006874598041179
energy_limited,full_action_q_dqn - standard_dqn,810,0.35312530919910046
energy_limited,full_action_q_dqn - standard_dqn,811,3.1062484269589277
energy_limited,full_action_q_dqn - standard_dqn,812,-0.3052720854431499
energy_limited,full_action_q_dqn - standard_dqn,813,1.987270135283481
energy_limited,full_action_q_dqn - standard_dqn,814,-0.7110079990699916
energy_limited,full_action_q_dqn - standard_dqn,815,-2.7319568185880883
energy_limited,full_action_q_dqn - standard_dqn,816,0.19913913220166535
energy_limited,full_action_q_dqn - standard_dqn,817,0.06999107338488386
energy_limited,full_action_q_dqn - standard_dqn,818,-0.09712720587849333
energy_limited,full_action_q_dqn - standard_dqn,819,0.17756379060446648
energy_limited,centered_full_action_dqn - standard_dqn,800,0.5758439086377649
energy_limited,centered_full_action_dqn - standard_dqn,801,-0.7781335610151245
energy_limited,centered_full_action_dqn - standard_dqn,802,-1.069850406274199
energy_limited,centered_full_action_dqn - standard_dqn,803,-0.8668055824190475
energy_limited,centered_full_action_dqn - standard_dqn,804,-1.0434796463698177
energy_limited,centered_full_action_dqn - standard_dqn,805,-0.5837891750037727
energy_limited,centered_full_action_dqn - standard_dqn,806,-1.6633328701555712
energy_limited,centered_full_action_dqn - standard_dqn,807,0.43055363483728115
energy_limited,centered_full_action_dqn - standard_dqn,808,-1.9203229884803221
energy_limited,centered_full_action_dqn - standard_dqn,809,-0.11406550310550756
energy_limited,centered_full_action_dqn - standard_dqn,810,-0.004276805594557231
energy_limited,centered_full_action_dqn - standard_dqn,811,-1.4412613942474053
energy_limited,centered_full_action_dqn - standard_dqn,812,-0.8985294933617212
energy_limited,centered_full_action_dqn - standard_dqn,813,0.7777955153584486
energy_limited,centered_full_action_dqn - standard_dqn,814,-0.4772039589285839
energy_limited,centered_full_action_dqn - standard_dqn,815,-3.787908920682966
energy_limited,centered_full_action_dqn - standard_dqn,816,1.4299286118149723
energy_limited,centered_full_action_dqn - standard_dqn,817,-0.3315139449387914
energy_limited,centered_full_action_dqn - standard_dqn,818,-1.3648268441855862
energy_limited,centered_full_action_dqn - standard_dqn,819,-0.43721001446247953
energy_limited,centered_full_action_dqn - full_action_q_dqn,800,0.520021511912347
energy_limited,centered_full_action_dqn - full_action_q_dqn,801,-1.2114340334385503
energy_limited,centered_full_action_dqn - full_action_q_dqn,802,-2.196914288103585
energy_limited,centered_full_action_dqn - full_action_q_dqn,803,0.5464023584872422
energy_limited,centered_full_action_dqn - full_action_q_dqn,804,-1.3525416608899832
