scenario,policy,model_seed,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction
burst,double_centered_full_action_dqn,800,96.99863612279296,31.19529200978577,65.80334412045777,1.5692857837770133,17602.856556129456,988.6218355685472,0.0,28.85,0.0,1.35,0.0,0.1916680082678795,0.0,0.0,0.0,0.3,0.7
burst,double_centered_full_action_dqn,801,99.06426673024893,32.563200030848385,66.50106670945883,1.591662415396422,18166.437764930724,793.2068208724261,0.0,29.0,0.0,1.25,0.0,0.19350918233394623,0.0,0.0,0.0,0.190625,0.809375
burst,double_centered_full_action_dqn,802,96.41018290616572,31.696604592353104,64.7135783726722,1.5864319478161633,18056.874035453795,1054.1633830308915,0.0,28.65,0.0,1.55,0.0,0.19062386229634284,0.0,0.0,0.0,0.34609375,0.65390625
burst,double_centered_full_action_dqn,803,93.62585990853607,30.766389305889607,62.85947063654661,1.5614041772671043,17365.87141532898,976.816936826706,0.0,28.2,0.0,0.8,0.0,0.19201093912124634,0.0,0.0,0.0015625,0.29375,0.7046875
burst,double_centered_full_action_dqn,804,96.6053466564417,31.238547569140792,65.36679918080569,1.5749573598150164,17695.000420570374,968.795960547775,0.0,29.05,0.0,1.75,0.0,0.19207115843892097,0.0,0.0,0.00625,0.28359375,0.71015625
burst,double_centered_full_action_dqn,805,98.79090990889976,32.00073458962142,66.79017518852065,1.6221201065462083,18570.918064212798,1200.252424311638,0.0,29.1,0.05,1.8,0.0,0.19078548178076743,0.0,0.0,0.02265625,0.40546875,0.571875
burst,double_centered_full_action_dqn,806,96.88011378109455,32.09850766807794,64.78160606086254,1.5786295504774899,17908.039141559602,950.2635816559196,0.0,28.3,0.0,1.4,0.0,0.19260044246912003,0.0,0.0,0.00234375,0.27265625,0.725
burst,double_centered_full_action_dqn,807,97.96680285319687,32.55928850658238,65.40751425832511,1.5846841410268098,18012.12216539383,772.0661251723766,0.0,28.55,0.0,1.0,0.0,0.1927506536245346,0.0,0.0,0.0,0.175,0.825
burst,double_centered_full_action_dqn,808,98.61500054828824,32.18123508393764,66.43376555860043,1.5818205570802093,17992.75044260025,875.3386529535055,0.0,29.15,0.0,1.15,0.0,0.1926097884774208,0.0,0.0,0.0,0.23359375,0.76640625
burst,double_centered_full_action_dqn,809,100.9022068258375,32.172554426267745,68.72965253442526,1.598835232667625,18207.926423454286,1022.5536688655615,0.0,29.8,0.0,1.45,0.0,0.19137973487377166,0.0,0.0,0.0,0.309375,0.690625
burst,double_centered_full_action_dqn,810,95.37879826821387,30.577006900310515,64.80179135970772,1.5761143565177917,17654.034295368194,1116.3289341986178,0.0,28.45,0.0,1.15,0.0,0.19124685004353523,0.0,0.0,0.003125,0.37265625,0.62421875
burst,double_centered_full_action_dqn,811,99.42672382928431,31.999192228168248,67.4275316402316,1.5889905342366546,17965.502116680145,904.9373546570539,0.0,29.4,0.0,1.65,0.0,0.19096107184886932,0.0,0.0,0.0,0.24296875,0.75703125
burst,double_centered_full_action_dqn,812,93.31080721497536,30.900563863292337,62.41024339675903,1.5847084014676511,17891.139723300934,1155.9477471515536,0.0,28.0,0.0,1.85,0.0,0.1920882284641266,0.0,0.0,0.00078125,0.38828125,0.6109375
burst,double_centered_full_action_dqn,813,98.25832012824715,32.1869467779994,66.07137336812914,1.5854204003233463,18015.42514600754,918.1284197479487,0.0,28.9,0.0,1.25,0.0,0.19175809174776076,0.0,0.0,0.0046875,0.26015625,0.73515625
burst,double_centered_full_action_dqn,814,96.52039782598615,31.799993266537786,64.72040449462831,1.5892392191104592,18094.689331150053,1124.075126395002,0.0,28.6,0.0,1.4,0.0,0.19188240319490432,0.0,0.0,0.0265625,0.3671875,0.60625
burst,double_centered_full_action_dqn,815,96.65412860639393,31.488243389502166,65.16588526532054,1.5790624198969454,17906.080062770845,993.3749304592609,0.0,28.75,0.0,0.75,0.0,0.19287444427609443,0.0,0.0,0.00078125,0.303125,0.69609375
burst,double_centered_full_action_dqn,816,93.50645367696882,30.67333233729005,62.833121374696496,1.5644452208653092,17509.103478336336,1069.1016749680043,0.0,27.8,0.0,1.15,0.0,0.19065980911254882,0.0,0.0,0.0,0.34765625,0.65234375
burst,double_centered_full_action_dqn,817,96.20604498244822,31.553242149949075,64.65280280306936,1.5761927797459065,17829.39058189392,959.2936283469201,0.0,28.4,0.0,1.35,0.0,0.19167147427797318,0.0,0.0,0.00078125,0.28125,0.71796875
burst,double_centered_full_action_dqn,818,97.53480923570693,31.553837491571905,65.9809718298167,1.574805384548381,17788.14267129898,993.9458620905876,0.0,28.85,0.0,1.3,0.0,0.19170161038637162,0.0,0.0,0.0,0.31328125,0.68671875
burst,double_centered_full_action_dqn,819,95.39139689899982,32.13930498920381,63.25209184087813,1.5729162185452878,17938.137747478486,895.1106386899949,0.0,28.1,0.0,1.0,0.0,0.19215555638074874,0.0,0.0,0.0,0.2609375,0.7390625
burst,double_dqn,800,97.0861211681366,31.191174318268896,65.89494688935578,1.573946616332978,17683.49044857025,1008.4770263582468,0.0,28.9,0.0,1.35,0.0,0.19192990362644197,0.0,0.0,0.0,0.31171875,0.68828125
burst,double_dqn,801,99.60483076304197,33.0194256965071,66.58540520474315,1.5997588493395596,18501.41882247925,884.612022279203,0.0,29.05,0.0,1.4,0.0,0.1930679753422737,0.0,0.0,0.04375,0.2578125,0.6984375
burst,double_dqn,802,96.66610692806543,32.067122315987945,64.59898462064564,1.5817369767464697,18026.970341587068,921.2654756955802,0.0,28.65,0.0,1.25,0.0,0.19097743481397628,0.0,0.0,0.00078125,0.275,0.72421875
burst,double_dqn,803,94.70176144354045,31.729723202437164,62.97203814387321,1.565591762587428,17526.47353744507,773.0198713690042,0.0,28.25,0.0,0.6,0.0,0.19336052760481834,0.0,0.0,0.0,0.175,0.825
burst,double_dqn,804,97.26798488892615,31.523329029604792,65.74465571776032,1.5765918420627714,17768.43423089981,912.2388901382685,0.0,29.1,0.0,1.55,0.0,0.192258583009243,0.0,0.0,0.0,0.25625,0.74375
burst,double_dqn,805,98.88218431629241,32.64259873889387,66.23958557404578,1.604261468630284,18309.928594875335,952.8749130353332,0.0,29.0,0.0,1.4,0.0,0.1914783351123333,0.0,0.0,0.01796875,0.2640625,0.71796875
burst,double_dqn,806,98.43535770788789,33.2161475982517,65.21921004146337,1.5931990712415427,18362.734023094177,915.8124061748385,0.0,28.45,0.0,1.25,0.0,0.19242013916373252,0.0,0.0,0.05,0.25,0.7
burst,double_dqn,807,97.63036726288497,32.272796135023235,65.35757111147046,1.5815669735427946,17972.7184926033,836.0366432458162,0.0,28.6,0.0,1.2,0.0,0.19271523058414458,0.0,0.0,0.0,0.21640625,0.78359375
burst,double_dqn,808,99.20824612893165,32.17673391662538,67.03151223242283,1.6098664510063827,18435.378838062286,1120.5749225176871,0.0,29.15,0.0,1.4,0.0,0.1917292967438698,0.0,0.0,0.06171875,0.34921875,0.5890625
burst,double_dqn,809,101.16252650104464,32.3474559109658,68.81507069289685,1.5980471190065146,18236.76468601227,971.6338969558477,0.0,29.85,0.0,1.5,0.0,0.1920953206717968,0.0,0.0,0.0,0.284375,0.715625
