file,sha256,variant,model_seed,episodes,horizon,training_steps,state_dim,bellman_target,replay,training_wall_time_s,optimizer_updates,preview_calls,preview_action_evaluations
centered_full_action_dqn__lambda_0p3__seed_800.pth,17e7b20006de9c647f4803223ff4eb0cb266842718d6781289cc8fefe054b46e,centered_full_action_dqn,800,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,57.826720000011846,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_801.pth,f1179ebf7ae4eda2fe7d1e9dd29682d8e9bf583b0449474e22851571ae7eebfe,centered_full_action_dqn,801,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,52.21912349993363,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_802.pth,6244a2f424206e828923204b77739164918ef12e000ecf17da05117beb39147f,centered_full_action_dqn,802,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,47.881618799990974,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_803.pth,1d314b195e902e78f82fa31567ac7bf4dbb9c583aef2861dd082128ee0ecf439,centered_full_action_dqn,803,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,47.69774109998252,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_804.pth,ce5d45509e799b73cd0c7cc778db5e5ab2edf89c263df1b1aaa1b47da2b50579,centered_full_action_dqn,804,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,51.5648944999557,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_805.pth,333291daca754bd40ba13a07aba1777d0ee52cbed60c4a095143f4275dccde4d,centered_full_action_dqn,805,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,47.10195139993448,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_806.pth,73c36e716c3e36eeeeec33abae27eb43b5ba9b8653ff600a5c926802612ac8b0,centered_full_action_dqn,806,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,47.24366120004561,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_807.pth,3ff0ec8a4a7a0bcf9980747356d2e209dda6b06db4d63853b7cdeb0c74f2f2a7,centered_full_action_dqn,807,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,51.88392659998499,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_808.pth,4d94f8a18b8b156cf923c9a74fa88b962cc9ef019774a2ac46a2792340e6eb2c,centered_full_action_dqn,808,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,47.19609759992454,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_809.pth,f54042e58a689b340e3dacb485277b9bad2693e6a20e078cf521436967eaef83,centered_full_action_dqn,809,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,47.3130471999757,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_810.pth,e32110189364b9c76fb7d250d5ae47475377917425334d65a492801577944ab2,centered_full_action_dqn,810,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,50.992705299984664,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_811.pth,270e138da18ad1db43773d8f3adc693b3cfbfe319c29f0e2b321bb9bdda14718,centered_full_action_dqn,811,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,47.184621099964716,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_812.pth,fc975938f7ec1a703a40396b8426f9893e3ceabdc292a70004332b5212a844fd,centered_full_action_dqn,812,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,47.39772719994653,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_813.pth,e0d2beef8e4106e69268cc7891467244d1e6586e9b49686f5ab0d46af6ef281b,centered_full_action_dqn,813,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,45.483772800071165,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_814.pth,108d9259e0380b4a0b505836fcff53a0ea8017049e3d5db347c50ee4b29e8c83,centered_full_action_dqn,814,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,48.04986359993927,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_815.pth,e8b4fbf406785afdede4a25ebda699dbe1b0be99fd6f9673e487dd708e29c7a0,centered_full_action_dqn,815,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,46.257483599940315,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_816.pth,5bd382a601b3ec721aa02df921159cb520979a7a8b3a49cba2b15d16be88c51f,centered_full_action_dqn,816,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,48.24623640009668,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_817.pth,30492b32ae7ac7b54f8cdb78a47e362d5dd2d0b5938989cabbc0f8fb01f73c89,centered_full_action_dqn,817,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,47.00269690004643,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_818.pth,471d321cb1bb884f20753c1a7b479ea9557c862cd3203a8fec868d594a651350,centered_full_action_dqn,818,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,47.36286580003798,9569,38400,115200
centered_full_action_dqn__lambda_0p3__seed_819.pth,e8efaa648d8ef88645b9d6cd9f45cb305dd1ff2aa86cd0aa6add73eb55d41365,centered_full_action_dqn,819,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,53.96377759997267,9569,38400,115200
contextual_bandit__gamma_0__seed_800.pth,b69713e28f06d1268ff811ca5c28d43eecc1c08d8e6c66070cff66b964d35ef7,contextual_bandit,800,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,80.46489479998127,9569,0,0
contextual_bandit__gamma_0__seed_801.pth,96fd9dead2bce599dffbd96b93304ff3e61445b2efe9be7bcd75dd91c53af56b,contextual_bandit,801,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,34.8306247999426,9569,0,0
contextual_bandit__gamma_0__seed_802.pth,73bbdab610cc8500c1618684b91c9ec3e343b97eb3b7cb911c3185ebc60f23d4,contextual_bandit,802,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,39.98145399999339,9569,0,0
contextual_bandit__gamma_0__seed_803.pth,550c0698f2e6ce201ea548e1a2056609470976226c00f412ddff02ca4ad98a73,contextual_bandit,803,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,34.79239389998838,9569,0,0
contextual_bandit__gamma_0__seed_804.pth,fe7302ce9c155ee5d4d015a6794c613ee92808e9e8ed8f1bef9965abdc6efe89,contextual_bandit,804,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,34.492409299942665,9569,0,0
contextual_bandit__gamma_0__seed_805.pth,cffff01d80ce0dd4bce5c412fb08497217bdc3dd4d75f9019dec0115a752b3c3,contextual_bandit,805,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,38.633083699969575,9569,0,0
contextual_bandit__gamma_0__seed_806.pth,757cb75cea21386de3ccced4e6469399ff00ef31acb922b6c96f59ce858f9e6a,contextual_bandit,806,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,34.31335660000332,9569,0,0
contextual_bandit__gamma_0__seed_807.pth,54958fa59e71e7ba95db1f06ba4782a4f0533c654060e158a7b8eaf0ce481655,contextual_bandit,807,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,35.38854850002099,9569,0,0
contextual_bandit__gamma_0__seed_808.pth,69a789dae820c2bb1253ce507ef8a462321834ef17b5a32fd810d87577ad6561,contextual_bandit,808,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,38.711774999974295,9569,0,0
contextual_bandit__gamma_0__seed_809.pth,bb39355084f343dafa8088be469640f4d74228dfa1f681dc44984d0b5e9a3f35,contextual_bandit,809,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,34.38236899999902,9569,0,0
