scenario,comparison,n_pairs,mean_difference,ci95_low,ci95_high,relative_improvement_percent,exact_sign_p,negative_seed_pairs,positive_seed_pairs,loo_mean_min,loo_mean_max,holm_adjusted_p,in_prespecified_family,mean_better,supported
burst,centered_full_action_dqn_exact - standard_dqn,20,-0.47580648119002616,-0.7303323225583869,-0.27820726402429796,0.48870519496242976,0.0025768280029296875,17,3,-0.5078155502206414,-0.37069402635097576,0.012884140014648438,True,True,True
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,20,-0.40777460882998895,-0.7195321349634769,-0.1754431397833862,0.41882903572597574,0.0025768280029296875,17,3,-0.4624771207708263,-0.28433055616915154,0.01030731201171875,True,True,True
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,20,-0.48461799781955717,-0.7384211156959621,-0.28721442811265546,0.49775558440138706,4.00543212890625e-05,19,1,-0.5147954315594153,-0.39327709408182815,0.00016021728515625,True,True,True
energy_limited,centered_full_action_dqn_exact - standard_dqn,20,-0.6784194719288493,-1.1706816549415224,-0.20757382526649013,0.5668884851497615,0.01181793212890625,16,4,-0.7893851605469452,-0.5147621325207379,0.03545379638671875,True,True,True
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,20,-0.2743413596432653,-0.7090022169620265,0.14458567568091815,0.22924011502784103,0.26317596435546875,13,7,-0.3524143192623011,-0.13741567507386176,0.5263519287109375,True,True,False
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,20,-0.915023458991201,-1.4522849017967447,-0.45798973917411934,0.7645951863221555,0.0025768280029296875,17,3,-0.9732024400563636,-0.7412248347033028,0.0077304840087890625,True,True,True
link_limited,centered_full_action_dqn_exact - standard_dqn,20,-0.4631178811676797,-0.7666999952614324,-0.17213368451455738,0.4528785426302166,0.04138946533203125,15,5,-0.5202558416716354,-0.3837543093962097,0.0827789306640625,True,True,False
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,20,-0.36939290553703896,-0.6186835189579042,-0.13403315390832823,0.3612257861772892,0.26317596435546875,13,7,-0.4182475851554617,-0.30786364366349445,0.5263519287109375,True,True,False
link_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,20,-0.3272910843268043,-0.6157302916564971,-0.06261173404287652,0.3200548182507334,0.26317596435546875,13,7,-0.38414737119094344,-0.23389746660856833,0.26317596435546875,True,True,False
nominal,centered_full_action_dqn_exact - standard_dqn,20,-0.6683923094738262,-0.9934449739862684,-0.3944351397580915,0.8533086141952445,0.0025768280029296875,17,3,-0.7138736944547595,-0.5456511120047218,0.012884140014648438,True,True,True
nominal,centered_full_action_dqn_preview_0p85 - standard_dqn,20,-0.44540665720589345,-0.845256780386897,-0.12419309504115918,0.5686321222230947,0.0004024505615234375,18,2,-0.53236202640949,-0.2940534830328657,0.0020122528076171875,True,True,True
nominal,centered_full_action_dqn_preview_1p15 - standard_dqn,20,-0.7729944771993864,-1.1051615735670053,-0.492807926520234,0.9868498436776457,1.9073486328125e-06,20,0,-0.8092288014625995,-0.6547312531581012,9.5367431640625e-06,True,True,True
thermal_stress,centered_full_action_dqn_exact - standard_dqn,20,-0.44755786625854627,-0.7437430160468437,-0.22669260239754854,0.45879213674593544,0.04138946533203125,15,5,-0.48200957836485187,-0.3280633567371654,0.0827789306640625,True,True,False
thermal_stress,centered_full_action_dqn_preview_0p85 - standard_dqn,20,-0.369645892323927,-0.7014575943722858,-0.10458304482814847,0.3789244733790087,0.01181793212890625,16,4,-0.43391577114204205,-0.24021648180524088,0.03545379638671875,True,True,True
thermal_stress,centered_full_action_dqn_preview_1p15 - standard_dqn,20,-0.4180540887061497,-0.7109243871170083,-0.17990790614764998,0.4285477769305251,0.04138946533203125,15,5,-0.45749726587808337,-0.31141058854562614,0.0827789306640625,True,True,False
