file,sha256,model_seed,training_steps,preview_transition_scale
centered_full_action_dqn__preview_scale_0p85__seed_800.pth,145e4e2b3bce8c205da89366d0e19494e84ead8f31d0c80aceef3f23d032495c,800,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_801.pth,1c68de1069c8d8127bd0a195b4cc36be0b56ca3dc7e059106cced833cf66cc3c,801,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_802.pth,e2f5b7da1a029df6a7aa7d25ff642db40ec23722b82baf08e28b2a60db9f3589,802,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_803.pth,e49b4f8d2bb029588ff7b915c433bc79dbf298770851943f749c95acc248357e,803,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_804.pth,23043e46ebde9a57889f280277e0daf9adad026c06ffdb639b431cb704555cb2,804,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_805.pth,91ba67018aca04c2f648d24e66d56177694945bc55cbcde875c975cb54f71b9e,805,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_806.pth,dea517267016a316be2a81d457cb4aa2cbd45c58d0828161bb70b461feac203c,806,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_807.pth,dfca576b76db22c16eeb7754a2f43f9890298d48ef9385865e47fc42ab3cb543,807,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_808.pth,527c8f5524ce47cce4f282ade41470b37ddf05848352cc9f58ee3591e5ad2bd6,808,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_809.pth,19dffe1994aeb3c9d9de17df41794e049d6ca82135730a57ed9c3720738cdc3d,809,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_810.pth,768ff5391a1e4a78ab00e6944253a4bb192398c5f53b28abbabe8af2e466ead3,810,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_811.pth,0da4ba61fef77e85e9b88ea842cf25763b8c4482472337bb1c9c06b395b96717,811,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_812.pth,c06acf1a02349bd694bdc8f27b812759ad516be8810d2037c33134324b6801c0,812,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_813.pth,95f764690ea871d40f908aae96976c1f03b98d2d1e39dea93cf1f5540bfe520e,813,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_814.pth,a11d9a3b877ab83204ebb8dd6983199d77320f2b425ca4006111afa0466e58e8,814,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_815.pth,80146cdb223f65da0d95c0e5e682c56da25eb7c5b58cef8e55c8c598840a3b43,815,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_816.pth,a661eca599213f413a110981f00b1b9dbbbb58b5099a52d034912d3acab07130,816,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_817.pth,e548e1b29dc64dd70c36f1ffbb34f064684f7466a93dbfd2db6483f914a37e96,817,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_818.pth,ec8cd068aa2d3418bb8b243967bfe71aa269885962b7ff91dfa54801ff18f221,818,38400,0.85
centered_full_action_dqn__preview_scale_0p85__seed_819.pth,b7aaa0d33fb624d30bdff0c5e2d66086690d869c770e2654b0aaf0f616461501,819,38400,0.85
centered_full_action_dqn__preview_scale_1p15__seed_800.pth,70075c1b9b8c44643dbf311346aa9e337734bba2014fc4c405105e636625dde9,800,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_801.pth,6e0b6238440ea7339c61d7ac692e2c4b774551c2d483ab26ab460238fccafda5,801,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_802.pth,f69b017462598ad9a2ca7f064597ec7343bb5124d0d0a949bc1104d2b3cfb810,802,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_803.pth,81fe622cdf6f006ce8b0370dd6f445cb23b6784cee0be2c1d973b13dd22e00a1,803,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_804.pth,46359e55571a537a60dad09ee61b6ce046c17c5d7d149fba0e973ee9538af0d6,804,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_805.pth,bd5bf97b4cad5b859ba8ea1b477014dcc2f35c61f32dc977ce5eb5a641258691,805,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_806.pth,3ffc2a79f5c8c5515a442bd728fbd469e72f82ae78b5adaf4ac01b9e25a656c8,806,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_807.pth,2152df6c6075c8ff3bf61de40141416956f264b5c5939d3ff1b9e042a184f755,807,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_808.pth,87333198de7906941dc4799248f5ab2e95fe2c5d9319634307d945bbfe1de9b7,808,38400,1.15
