scenario,comparison,model_seed,difference
burst,centered_full_action_dqn_exact - standard_dqn,800,0.12199328251183772
burst,centered_full_action_dqn_exact - standard_dqn,801,-0.6193551585823229
burst,centered_full_action_dqn_exact - standard_dqn,802,-0.15594537176191636
burst,centered_full_action_dqn_exact - standard_dqn,803,-0.43534963130952065
burst,centered_full_action_dqn_exact - standard_dqn,804,-0.6233107230812323
burst,centered_full_action_dqn_exact - standard_dqn,805,-0.5838013333082301
burst,centered_full_action_dqn_exact - standard_dqn,806,-0.44112881511449586
burst,centered_full_action_dqn_exact - standard_dqn,807,-0.3483692482113838
burst,centered_full_action_dqn_exact - standard_dqn,808,-0.8238758937269495
burst,centered_full_action_dqn_exact - standard_dqn,809,0.13236583039166305
burst,centered_full_action_dqn_exact - standard_dqn,810,-0.7789083644002659
burst,centered_full_action_dqn_exact - standard_dqn,811,-0.6719008243829165
burst,centered_full_action_dqn_exact - standard_dqn,812,-0.03497650347649994
burst,centered_full_action_dqn_exact - standard_dqn,813,0.003190111368894577
burst,centered_full_action_dqn_exact - standard_dqn,814,-0.3708987347781658
burst,centered_full_action_dqn_exact - standard_dqn,815,-2.4729431231319836
burst,centered_full_action_dqn_exact - standard_dqn,816,-0.49798560187221597
burst,centered_full_action_dqn_exact - standard_dqn,817,-0.2619874890148708
burst,centered_full_action_dqn_exact - standard_dqn,818,-0.3212868009507588
burst,centered_full_action_dqn_exact - standard_dqn,819,-0.33165523096919003
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,800,0.10326284810901143
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,801,-0.5679224890470493
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,802,-0.360286204665897
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,803,-0.4175211623311128
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,804,-0.26045008793472846
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,805,-0.5288786098360987
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,806,-0.48573844283819767
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,807,-0.858209535107008
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,808,-0.36118747130035445
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,809,0.19582027055324147
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,810,-0.4991576216369822
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,811,0.631573118045921
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,812,-0.36535324268042757
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,813,-0.2455892898887413
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,814,-0.2620546214282484
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,815,-2.7532116093859003
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,816,-0.5369175241142585
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,817,-0.287975167334082
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,818,-0.28464909762143975
burst,centered_full_action_dqn_preview_0p85 - standard_dqn,819,-0.011046236157426392
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,800,-0.12710018858312822
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,801,-0.610154417008161
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,802,-0.325458216890695
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,803,-0.4109758112579698
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,804,-0.6401087071001541
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,805,-0.0005121682584388054
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,806,-0.28788017190991866
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,807,-0.3401931393891573
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,808,-1.274917990490792
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,809,0.08875324323774691
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,810,-0.5195454098284245
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,811,-0.44343979924917676
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,812,-0.5414688813686297
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,813,-0.177662565857176
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,814,-1.0515345581620892
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,815,-2.2200951688364086
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,816,-0.1855798527598438
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,817,-0.09056510612369095
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,818,-0.25181113123893795
burst,centered_full_action_dqn_preview_1p15 - standard_dqn,819,-0.28210991531609864
energy_limited,centered_full_action_dqn_exact - standard_dqn,800,0.5758439086377649
energy_limited,centered_full_action_dqn_exact - standard_dqn,801,-0.7781335610151245
energy_limited,centered_full_action_dqn_exact - standard_dqn,802,-1.069850406274199
energy_limited,centered_full_action_dqn_exact - standard_dqn,803,-0.8668055824190475
energy_limited,centered_full_action_dqn_exact - standard_dqn,804,-1.0434796463698177
energy_limited,centered_full_action_dqn_exact - standard_dqn,805,-0.5837891750037727
energy_limited,centered_full_action_dqn_exact - standard_dqn,806,-1.6633328701555712
energy_limited,centered_full_action_dqn_exact - standard_dqn,807,0.43055363483728115
energy_limited,centered_full_action_dqn_exact - standard_dqn,808,-1.9203229884803221
energy_limited,centered_full_action_dqn_exact - standard_dqn,809,-0.11406550310550756
energy_limited,centered_full_action_dqn_exact - standard_dqn,810,-0.004276805594557231
energy_limited,centered_full_action_dqn_exact - standard_dqn,811,-1.4412613942474053
energy_limited,centered_full_action_dqn_exact - standard_dqn,812,-0.8985294933617212
energy_limited,centered_full_action_dqn_exact - standard_dqn,813,0.7777955153584486
energy_limited,centered_full_action_dqn_exact - standard_dqn,814,-0.4772039589285839
energy_limited,centered_full_action_dqn_exact - standard_dqn,815,-3.787908920682966
energy_limited,centered_full_action_dqn_exact - standard_dqn,816,1.4299286118149723
energy_limited,centered_full_action_dqn_exact - standard_dqn,817,-0.3315139449387914
energy_limited,centered_full_action_dqn_exact - standard_dqn,818,-1.3648268441855862
energy_limited,centered_full_action_dqn_exact - standard_dqn,819,-0.43721001446247953
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,800,-0.18980641208588622
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,801,-0.8876656706631252
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,802,0.10734999917447396
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,803,-0.7302755421400207
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,804,-0.504410482943058
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,805,-0.5297443920373865
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,806,-1.442133424729107
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,807,-0.981975767016408
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,808,-0.8932616767287271
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,809,1.0676001688838141
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,810,0.6854387650638927
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,811,1.2090448731184154
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,812,-0.2714711728692123
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,813,0.881393220350148
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,814,0.28647880546748183
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,815,-2.875929366461932
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,816,1.120675379261371
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,817,-0.44854848675430503
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,818,-0.8602844662219269
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,819,-0.22930154353380772
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,800,0.12920414440334582
