scenario,policy,model_seed,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction
burst,centered_full_action_dqn_exact,800,97.16056155517698,31.287079279497267,65.87348223134875,1.57140978355892,17648.159368228913,978.2054040409624,0.0,28.85,0.0,1.3,0.0,0.19192990362644197,0.0,0.0,0.003125,0.29765625,0.69921875
burst,centered_full_action_dqn_exact,801,98.79253335513175,32.45066540502012,66.34186798438431,1.5906298537738621,18171.389021873474,832.5384620219469,0.0,29.0,0.0,1.4,0.0,0.19268070310354232,0.0,0.0,0.0015625,0.21640625,0.78203125
burst,centered_full_action_dqn_exact,802,96.43604034528137,31.57845879793167,64.8575815641135,1.5849099696613849,17957.451481056214,1043.0209946155549,0.0,28.7,0.0,1.4,0.0,0.19062386229634284,0.0,0.0,0.0,0.33125,0.66875
burst,centered_full_action_dqn_exact,803,93.69841762751341,30.828770089894533,62.86964747577906,1.561438739206642,17426.379067611695,963.337097710371,0.0,28.15,0.0,0.85,0.0,0.19201093912124634,0.0,0.0,0.0,0.29375,0.70625
burst,centered_full_action_dqn_exact,804,96.7576671256125,31.343078062310816,65.41458900257945,1.5737874490208923,17681.064892196657,922.8400467738509,0.0,29.15,0.0,1.5,0.0,0.19290023520588875,0.0,0.0,0.00390625,0.25859375,0.7375
burst,centered_full_action_dqn_exact,805,98.06914503157138,32.18097225539386,65.8881726424396,1.604148287512362,18285.161117362975,1029.6344319522382,0.0,28.85,0.0,1.65,0.0,0.1904309667646885,0.0,0.0,0.003125,0.309375,0.6875
burst,centered_full_action_dqn_exact,806,97.25504975654185,31.812877284735443,65.44217250198126,1.5846168471500277,17929.25883016586,1069.3254038900136,0.0,28.5,0.0,1.55,0.0,0.1917778104543686,0.0,0.0,0.00078125,0.33203125,0.6671875
burst,centered_full_action_dqn_exact,807,97.75443693310022,32.3873202253133,65.36711655244231,1.5851951186079531,17937.553869724274,786.5644022166729,0.0,28.55,0.0,1.0,0.0,0.19236071035265923,0.0,0.0,0.0,0.17578125,0.82421875
burst,centered_full_action_dqn_exact,808,98.53017394840717,32.073455864936115,66.45671799629926,1.582101134536788,17939.661026763915,881.4053931325674,0.0,29.2,0.0,1.1,0.0,0.19237195923924447,0.0,0.0,0.0,0.2296875,0.7703125
burst,centered_full_action_dqn_exact,809,100.9721283581853,32.25167137496173,68.72045713037252,1.599668507371098,18264.781196784974,1051.0266594320535,0.0,30.0,0.0,1.55,0.0,0.19066757336258888,0.0,0.0,0.0,0.3296875,0.6703125
