scenario,policy,total_cost_mean,immediate_cost_mean,penalty_mean,energy_use_mean,latency_ms_mean,transmitted_mbit_mean,thermal_violation_mean,energy_violation_mean,queue_violation_mean,contact_violation_mean,planning_time_ms_mean,maximum_heat_mean,minimum_energy_mean,threshold_free_episode_mean,onboard_fraction_mean,ground_fraction_mean,hybrid_fraction_mean,total_cost_sd,immediate_cost_sd,penalty_sd,energy_use_sd,latency_ms_sd,transmitted_mbit_sd,thermal_violation_sd,energy_violation_sd,queue_violation_sd,contact_violation_sd,planning_time_ms_sd,maximum_heat_sd,minimum_energy_sd,threshold_free_episode_sd,onboard_fraction_sd,ground_fraction_sd,hybrid_fraction_sd,n_model_seeds
burst,centered_full_action_dqn_exact,96.88482853857987,31.65135376797989,65.23347475721687,1.5815335287200287,17892.049205827712,983.3782859965413,0.0,28.7075,0.0,1.3175000000000001,0.0,0.19171729266643525,0.0,0.0,0.0019140625000000002,0.2946875,0.7033984375,1.9395759495751166,0.5591780702053135,1.580306597911453,0.010870928935484475,231.92761573617807,100.49153160340924,0.0,0.5289699523851192,0.0,0.3001205897985885,0.0,0.0007341471118299163,0.0,0.0,0.004098673402901397,0.05658514467474517,0.05812519619643599,20
burst,centered_full_action_dqn_preview_0p85,96.9528604109399,31.76265197581612,65.19020845573395,1.5813230607053266,17907.710796961786,960.1360149942524,0.0,28.702499999999997,0.0,1.25,0.0,0.191793649867177,0.0,0.0,0.00375,0.282578125,0.713671875,2.06498661794053,0.551065623408999,1.6765098416768915,0.011654865478339061,237.30047186941542,101.95611446417335,0.0,0.522512905909611,0.0,0.26606291301910256,0.0,0.0006833068569470024,0.0,0.0,0.008105524482608014,0.05976278964292585,0.0643149810432639,20
burst,centered_full_action_dqn_preview_1p15,96.87601702195033,31.615837114630267,65.26017991040274,1.5826227980898693,17910.96721634388,1007.8504024972393,0.0,28.71,0.0,1.3375,0.0,0.19167491350322963,0.0,0.0,0.004218749999999999,0.3087109375,0.6870703125000001,1.9718067135125574,0.5856806851182281,1.6018288433935735,0.011660997280172716,251.75370843604392,107.99169535933416,0.0,0.47864941570829767,0.0,0.2645129585921225,0.0,0.0007196514303096975,0.0,0.0,0.007215691280667066,0.05836180792681133,0.06091455107263579,20
burst,standard_dqn,97.36063501976989,31.903838568544018,65.45679643310234,1.5847645338461736,17957.041823773383,945.3375765060075,0.0,28.76,0.0,1.2725,0.0,0.19190480407327412,0.0,0.0,0.00578125,0.27230468750000003,0.7219140625,2.0140631226695733,0.734484632296699,1.5845398920147744,0.009897713501480061,204.15085004296998,142.39707500634492,0.0,0.4991044611680957,0.0,0.3010835694445542,0.0,0.0007109981785138307,0.0,0.0,0.0105469511449493,0.0805636955036394,0.07966954898107473,20
energy_limited,centered_full_action_dqn_exact,118.99581800171174,28.44896590375341,90.54685212031008,1.4845416835835203,16116.52429130554,845.3836382560432,0.0,38.745,0.0,1.16,0.0,0.19265183568000793,0.0,0.0,0.0033984375000000004,0.258828125,0.7377734375,1.6510608408068308,0.6239779067076661,1.248089868891127,0.010042119503592498,189.78435964016643,136.9208682683979,0.0,0.4468898368902451,0.0,0.2760625405877977,0.0,0.0006630131548305435,0.0,0.0,0.007116510661314201,0.0810992639591778,0.08466699710238165,20
energy_limited,centered_full_action_dqn_preview_0p85,119.39989611399733,28.674481066660956,90.72541506899893,1.4863722418784164,16180.401452479364,820.4361137481407,0.0,38.79,0.0,1.105,0.0,0.19268383480608464,0.0,0.0,0.007578125,0.24562499999999998,0.746796875,1.9364589962693575,0.6271476217957734,1.4621387369521515,0.012039715127246038,233.92071253685452,138.32487603682347,0.0,0.5305409354710781,0.0,0.28695314123242815,0.0,0.0007786964431466783,0.0,0.0,0.016121032699938923,0.08635529423321574,0.09675020479501989,20
energy_limited,centered_full_action_dqn_preview_1p15,118.75921401464939,28.379181614574044,90.38003241611273,1.4840745234838688,16124.731148142815,871.1746213670447,0.0,38.68,0.0,1.2025000000000001,0.0,0.1925452406704426,0.0,0.0,0.006679687500000001,0.2761328125,0.7171875,1.6432998211111378,0.6089797553380375,1.2370150356683753,0.01135977681112232,228.20108568741324,132.36678817671674,0.0,0.45230404305999844,0.0,0.2740894014733149,0.0,0.0007168603523880001,0.0,0.0,0.010692374787569965,0.07810504473762424,0.08391611937202845,20
energy_limited,standard_dqn,119.6742374736406,28.77454113875516,90.89969635152816,1.4897598899435252,16221.407261400222,819.9341501711309,0.0,38.845,0.0,1.145,0.0,0.1927281368523836,0.0,0.0,0.009648437499999999,0.24281250000000001,0.7475390625,2.1442486187571066,0.9366564454130221,1.4302819521181553,0.009979384782740144,212.15175640780046,183.5228757408303,0.0,0.5353061101640336,0.0,0.31743213116308316,0.0,0.000776696819595233,0.0,0.0,0.015462300539468954,0.1101539461778498,0.10813538457652211,20
link_limited,centered_full_action_dqn_exact,101.79782795168087,31.73469214608893,70.06313582222536,1.6995709807123056,19834.198828310968,613.7526996392756,0.0,30.1475,0.0,0.8525,0.0,0.19289086066186428,0.0,0.0,0.006679687500000001,0.11277343749999999,0.880546875,1.803729357138155,0.4661012039871229,1.4905177149744335,0.012740758712840151,242.22986490225566,60.217500606691495,0.0,0.4601129723974546,0.0,0.20162171457825095,0.0,0.0006509873073596486,0.0,0.0,0.01133407851722865,0.03962447320726327,0.04525851764029296,20
link_limited,centered_full_action_dqn_preview_0p85,101.89155292731151,31.86060219373554,70.03095073854924,1.6988011445710434,19862.249616250992,603.5998308272846,0.0,30.139999999999997,0.0,0.8099999999999999,0.0,0.19287115976214408,0.0,0.0,0.011171875000000001,0.10695312500000001,0.881875,1.888062081261958,0.4728533422939624,1.5829246992820023,0.014209118048785871,286.068660771987,57.96678058137898,0.0,0.5082477638649129,0.0,0.19574419397183718,0.0,0.000641708418354711,0.0,0.0,0.02110227654180256,0.040302601676460624,0.05505258774810822,20
