profile,comparison,n_pairs,mean_difference,ci95_low,ci95_high,relative_improvement_percent,exact_sign_p,negative_seed_pairs,positive_seed_pairs,loo_mean_min,loo_mean_max,holm_adjusted_p,in_prespecified_family,mean_better,supported
compute_minus20,centered_full_action_dqn - standard_dqn,20,-0.489189326185733,-0.7760079826337286,-0.22297754535107123,0.7895782877160523,0.01181793212890625,16,4,-0.537572269467147,-0.41310091328660137,0.018037796020507812,True,True,True
compute_minus20,centered_full_action_dqn - mpc_h4,20,-12.823298859002211,-13.309959342076786,-12.347762170623195,17.26116469706792,1.9073486328125e-06,20,0,-12.922610968275047,-12.698110440155933,1.52587890625e-05,True,True,True
compute_plus20,centered_full_action_dqn - standard_dqn,20,-0.889429361660509,-1.3522996319705773,-0.5311324294417299,0.9830921520886821,0.0004024505615234375,18,2,-0.9619430932054694,-0.7109981525263017,0.0032196044921875,True,True,True
compute_plus20,centered_full_action_dqn - mpc_h4,20,-11.341827523497589,-11.86133329904905,-10.755145044529392,11.237873612357596,1.9073486328125e-06,20,0,-11.498154860242897,-11.25067214842464,1.52587890625e-05,True,True,True
data_minus20,centered_full_action_dqn - standard_dqn,20,-1.0304691884025874,-1.5453765707304261,-0.6219516400891016,1.6563970622816881,0.0025768280029296875,17,3,-1.0923650537109626,-0.8358539952839613,0.018037796020507812,True,True,True
data_minus20,centered_full_action_dqn - mpc_h4,20,-11.098939785739752,-11.782866363981848,-10.342333533252528,15.355488106893914,1.9073486328125e-06,20,0,-11.32998054009235,-10.946777338089953,1.52587890625e-05,True,True,True
data_plus20,centered_full_action_dqn - standard_dqn,20,-0.43985442106053585,-0.6907188502706607,-0.2262594813947593,0.4954003495183101,0.0025768280029296875,17,3,-0.4733169095924066,-0.35121767614233224,0.018037796020507812,True,True,True
data_plus20,centered_full_action_dqn - mpc_h4,20,-12.58651520231988,-13.027183922687698,-12.085093134889318,12.470004276264472,1.9073486328125e-06,20,0,-12.714117303617668,-12.504395270219826,1.52587890625e-05,True,True,True
energy_plus20,centered_full_action_dqn - standard_dqn,20,-0.5955854060761616,-0.9824832651585332,-0.28452872279323205,0.5681446431437771,0.0025768280029296875,17,3,-0.6547075222079682,-0.4440605977138395,0.018037796020507812,True,True,True
energy_plus20,centered_full_action_dqn - mpc_h4,20,-9.029630050667262,-9.506399344768914,-8.513799331410295,7.972202322091348,1.9073486328125e-06,20,0,-9.166072529078322,-8.920260843245517,1.52587890625e-05,True,True,True
heat_plus20,centered_full_action_dqn - standard_dqn,20,-0.671938853470607,-1.009147904996803,-0.4032462639247536,0.8575019191548164,0.0025768280029296875,17,3,-0.7160136704088027,-0.5485948066942773,0.018037796020507812,True,True,True
heat_plus20,centered_full_action_dqn - mpc_h4,20,-13.202729125040268,-13.70752160534086,-12.686777005490553,14.525919692282063,1.9073486328125e-06,20,0,-13.323631276396169,-13.090158979393182,1.52587890625e-05,True,True,True
link_minus20,centered_full_action_dqn - standard_dqn,20,-0.6382836909685274,-0.9599536749931521,-0.35451603141422144,0.7157507448912039,0.0025768280029296875,17,3,-0.6851507353841465,-0.5264427623760535,0.018037796020507812,True,True,True
link_minus20,centered_full_action_dqn - mpc_h4,20,-16.40542108863942,-16.845989258175713,-15.927023340984082,15.632555565318116,1.9073486328125e-06,20,0,-16.52088873960373,-16.323474034266322,1.52587890625e-05,True,True,True
reference,centered_full_action_dqn - standard_dqn,20,-0.6683923094738262,-0.9953876955527319,-0.39281661368817977,0.8533086141952445,0.0025768280029296875,17,3,-0.7138736944547595,-0.5456511120047218,0.018037796020507812,True,True,True
reference,centered_full_action_dqn - mpc_h4,20,-13.166683936600915,-13.662243377916898,-12.656452352344065,14.496317421364154,1.9073486328125e-06,20,0,-13.284104309200382,-13.053114723074142,1.52587890625e-05,True,True,True
