profile,comparison,model_seed,difference
compute_minus20,centered_full_action_dqn - standard_dqn,800,0.4300865961611322
compute_minus20,centered_full_action_dqn - standard_dqn,801,-0.12117868252098418
compute_minus20,centered_full_action_dqn - standard_dqn,802,-0.28663559626787816
compute_minus20,centered_full_action_dqn - standard_dqn,803,-0.226779288053514
compute_minus20,centered_full_action_dqn - standard_dqn,804,-0.8474262554198546
compute_minus20,centered_full_action_dqn - standard_dqn,805,-0.3630182079970794
compute_minus20,centered_full_action_dqn - standard_dqn,806,-0.12342734187841842
compute_minus20,centered_full_action_dqn - standard_dqn,807,0.24721348874271598
compute_minus20,centered_full_action_dqn - standard_dqn,808,-1.3597832205146503
compute_minus20,centered_full_action_dqn - standard_dqn,809,0.08643624305723563
compute_minus20,centered_full_action_dqn - standard_dqn,810,-0.8967455224320346
compute_minus20,centered_full_action_dqn - standard_dqn,811,-0.503071083351962
compute_minus20,centered_full_action_dqn - standard_dqn,812,0.3062358625233159
compute_minus20,centered_full_action_dqn - standard_dqn,813,-0.10382823407650221
compute_minus20,centered_full_action_dqn - standard_dqn,814,-0.8562954502552813
compute_minus20,centered_full_action_dqn - standard_dqn,815,-1.8134014375507803
compute_minus20,centered_full_action_dqn - standard_dqn,816,-1.9348691712692343
compute_minus20,centered_full_action_dqn - standard_dqn,817,-0.6689778350293594
compute_minus20,centered_full_action_dqn - standard_dqn,818,-0.16898826066404382
compute_minus20,centered_full_action_dqn - standard_dqn,819,-0.5793331269174828
compute_minus20,centered_full_action_dqn - mpc_h4,800,-12.465646583177147
compute_minus20,centered_full_action_dqn - mpc_h4,801,-13.61323704145849
compute_minus20,centered_full_action_dqn - mpc_h4,802,-13.530648101982642
compute_minus20,centered_full_action_dqn - mpc_h4,803,-12.701110141053803
compute_minus20,centered_full_action_dqn - mpc_h4,804,-13.092670946419247
compute_minus20,centered_full_action_dqn - mpc_h4,805,-12.762444434607104
compute_minus20,centered_full_action_dqn - mpc_h4,806,-11.64146713141416
compute_minus20,centered_full_action_dqn - mpc_h4,807,-13.105306614264833
compute_minus20,centered_full_action_dqn - mpc_h4,808,-13.07779259219766
compute_minus20,centered_full_action_dqn - mpc_h4,809,-12.542272306958978
compute_minus20,centered_full_action_dqn - mpc_h4,810,-12.913085439726721
compute_minus20,centered_full_action_dqn - mpc_h4,811,-14.630482887648824
compute_minus20,centered_full_action_dqn - mpc_h4,812,-11.466902549192305
compute_minus20,centered_full_action_dqn - mpc_h4,813,-13.78255947656929
compute_minus20,centered_full_action_dqn - mpc_h4,814,-10.966726547628646
compute_minus20,centered_full_action_dqn - mpc_h4,815,-12.836985628120601
compute_minus20,centered_full_action_dqn - mpc_h4,816,-11.39561960641295
compute_minus20,centered_full_action_dqn - mpc_h4,817,-15.201878817081443
compute_minus20,centered_full_action_dqn - mpc_h4,818,-13.802771551311018
compute_minus20,centered_full_action_dqn - mpc_h4,819,-10.93636878281832
compute_plus20,centered_full_action_dqn - standard_dqn,800,0.48833153769373894
compute_plus20,centered_full_action_dqn - standard_dqn,801,-0.744696018174281
compute_plus20,centered_full_action_dqn - standard_dqn,802,-0.8915297584235589
compute_plus20,centered_full_action_dqn - standard_dqn,803,-0.3545111652463646
compute_plus20,centered_full_action_dqn - standard_dqn,804,-1.0690130744129362
compute_plus20,centered_full_action_dqn - standard_dqn,805,-0.8626158392429204
compute_plus20,centered_full_action_dqn - standard_dqn,806,-0.5165198775380873
compute_plus20,centered_full_action_dqn - standard_dqn,807,0.03927365511655978
compute_plus20,centered_full_action_dqn - standard_dqn,808,-0.9070409862697204
compute_plus20,centered_full_action_dqn - standard_dqn,809,-0.017523256018748157
compute_plus20,centered_full_action_dqn - standard_dqn,810,-1.1917917372617097
compute_plus20,centered_full_action_dqn - standard_dqn,811,-1.7320487415790637
compute_plus20,centered_full_action_dqn - standard_dqn,812,-0.261771632209431
compute_plus20,centered_full_action_dqn - standard_dqn,813,-0.42237438797950233
compute_plus20,centered_full_action_dqn - standard_dqn,814,-0.4660681044101693
compute_plus20,centered_full_action_dqn - standard_dqn,815,-4.279622335210448
compute_plus20,centered_full_action_dqn - standard_dqn,816,-1.5360700154277538
compute_plus20,centered_full_action_dqn - standard_dqn,817,-0.9154337979853153
compute_plus20,centered_full_action_dqn - standard_dqn,818,-1.39486591354013
compute_plus20,centered_full_action_dqn - standard_dqn,819,-0.7526957850903386
compute_plus20,centered_full_action_dqn - mpc_h4,800,-11.577852301413444
compute_plus20,centered_full_action_dqn - mpc_h4,801,-10.94588515031684
compute_plus20,centered_full_action_dqn - mpc_h4,802,-12.47519092312362
compute_plus20,centered_full_action_dqn - mpc_h4,803,-11.713681937547008
compute_plus20,centered_full_action_dqn - mpc_h4,804,-11.960900484124053
compute_plus20,centered_full_action_dqn - mpc_h4,805,-12.341069161772111
compute_plus20,centered_full_action_dqn - mpc_h4,806,-9.651639654288957
compute_plus20,centered_full_action_dqn - mpc_h4,807,-8.371608125336763
compute_plus20,centered_full_action_dqn - mpc_h4,808,-11.965883979280733
compute_plus20,centered_full_action_dqn - mpc_h4,809,-11.516110085699253
compute_plus20,centered_full_action_dqn - mpc_h4,810,-11.909476964225874
compute_plus20,centered_full_action_dqn - mpc_h4,811,-11.830438008089473
compute_plus20,centered_full_action_dqn - mpc_h4,812,-13.073779649883647
compute_plus20,centered_full_action_dqn - mpc_h4,813,-12.287458129782891
compute_plus20,centered_full_action_dqn - mpc_h4,814,-9.814166751115792
compute_plus20,centered_full_action_dqn - mpc_h4,815,-12.231140377125413
compute_plus20,centered_full_action_dqn - mpc_h4,816,-12.175017448277572
compute_plus20,centered_full_action_dqn - mpc_h4,817,-12.039824460345358
compute_plus20,centered_full_action_dqn - mpc_h4,818,-10.261638726121333
compute_plus20,centered_full_action_dqn - mpc_h4,819,-8.693788152081652
data_minus20,centered_full_action_dqn - standard_dqn,800,0.13548540621996352
data_minus20,centered_full_action_dqn - standard_dqn,801,-1.089876240119338
data_minus20,centered_full_action_dqn - standard_dqn,802,-0.6613721407204949
data_minus20,centered_full_action_dqn - standard_dqn,803,-0.3591005726903731
data_minus20,centered_full_action_dqn - standard_dqn,804,-1.6532545945793373
data_minus20,centered_full_action_dqn - standard_dqn,805,-0.8134282302111373
data_minus20,centered_full_action_dqn - standard_dqn,806,-0.9948066076636337
data_minus20,centered_full_action_dqn - standard_dqn,807,0.14555225245653958
data_minus20,centered_full_action_dqn - standard_dqn,808,-1.1169477477669716
data_minus20,centered_full_action_dqn - standard_dqn,809,-0.038828499987722864
data_minus20,centered_full_action_dqn - standard_dqn,810,-1.2118832485377808
data_minus20,centered_full_action_dqn - standard_dqn,811,-1.8592697782814582
data_minus20,centered_full_action_dqn - standard_dqn,812,0.1443370424956143
data_minus20,centered_full_action_dqn - standard_dqn,813,-0.5376207585632855
data_minus20,centered_full_action_dqn - standard_dqn,814,-0.35573645830154277
data_minus20,centered_full_action_dqn - standard_dqn,815,-4.728157857656484
data_minus20,centered_full_action_dqn - standard_dqn,816,-1.5078895730747277
data_minus20,centered_full_action_dqn - standard_dqn,817,-1.5005268719047322
data_minus20,centered_full_action_dqn - standard_dqn,818,-1.3517398372292533
data_minus20,centered_full_action_dqn - standard_dqn,819,-1.2543194519355936
data_minus20,centered_full_action_dqn - mpc_h4,800,-12.53746460340831
data_minus20,centered_full_action_dqn - mpc_h4,801,-10.250077317828982
data_minus20,centered_full_action_dqn - mpc_h4,802,-11.908504101081398
data_minus20,centered_full_action_dqn - mpc_h4,803,-12.113375706691173
data_minus20,centered_full_action_dqn - mpc_h4,804,-11.200257032912972
data_minus20,centered_full_action_dqn - mpc_h4,805,-11.36459027300139
data_minus20,centered_full_action_dqn - mpc_h4,806,-9.905914312668884
data_minus20,centered_full_action_dqn - mpc_h4,807,-6.709165453040413
