scenario,comparison,n_pairs,mean_difference,ci95_low,ci95_high,relative_improvement_percent,exact_sign_p,negative_seed_pairs,positive_seed_pairs,loo_mean_min,loo_mean_max,holm_adjusted_p,in_prespecified_family,mean_better,supported
burst,centered_full_action_dqn - standard_dqn,20,-0.47580648119002616,-0.7303323225583869,-0.27820726402429796,0.48870519496242976,0.0025768280029296875,17,3,-0.5078155502206414,-0.37069402635097576,0.012884140014648438,True,True,True
burst,centered_full_action_dqn - mpc_h4,20,-11.462524791366837,-11.890754546018522,-11.02366667014501,10.579422975345214,1.9073486328125e-06,20,0,-11.586299564494535,-11.366435725328541,9.5367431640625e-06,True,True,True
burst,mpc_h4 - immediate_argmin,20,-132.84999514996338,-135.05919005149295,-130.63754372330862,55.07937628138095,1.9073486328125e-06,20,0,-133.29847965073088,-132.49179897052923,9.5367431640625e-06,True,True,True
energy_limited,centered_full_action_dqn - standard_dqn,20,-0.6784194719288493,-1.1706816549415224,-0.20757382526649013,0.5668884851497615,0.01181793212890625,16,4,-0.7893851605469452,-0.5147621325207379,0.03545379638671875,True,True,True
energy_limited,centered_full_action_dqn - mpc_h4,20,-7.002344195336301,-7.550383887882482,-6.3933315181307995,5.557497088239559,1.9073486328125e-06,20,0,-7.189950839445541,-6.876171475267154,9.5367431640625e-06,True,True,True
energy_limited,mpc_h4 - immediate_argmin,20,-99.31324925038112,-102.00792496511558,-96.52884616008593,44.07821539636194,1.9073486328125e-06,20,0,-99.90664321207652,-98.81781349128596,9.5367431640625e-06,True,True,True
link_limited,centered_full_action_dqn - standard_dqn,20,-0.4631178811676797,-0.7666999952614324,-0.17213368451455738,0.4528785426302166,0.04138946533203125,15,5,-0.5202558416716354,-0.3837543093962097,0.0827789306640625,True,True,False
link_limited,centered_full_action_dqn - mpc_h4,20,-13.93408125051005,-14.262326106201236,-13.60945957413138,12.039964903859259,1.9073486328125e-06,20,0,-14.02257087600043,-13.850517366258819,9.5367431640625e-06,True,True,True
link_limited,mpc_h4 - immediate_argmin,20,-156.29252824243395,-159.10990258702856,-153.35847140106347,57.45532633414595,1.9073486328125e-06,20,0,-157.08442285747324,-155.75266773859775,9.5367431640625e-06,True,True,True
nominal,centered_full_action_dqn - standard_dqn,20,-0.6683923094738262,-0.9934449739862684,-0.3944351397580915,0.8533086141952445,0.0025768280029296875,17,3,-0.7138736944547595,-0.5456511120047218,0.012884140014648438,True,True,True
nominal,centered_full_action_dqn - mpc_h4,20,-13.166683936600915,-13.653006413492971,-12.654969659645953,14.496317421364154,1.9073486328125e-06,20,0,-13.284104309200382,-13.053114723074142,9.5367431640625e-06,True,True,True
nominal,mpc_h4 - immediate_argmin,20,-102.59554518155426,-105.45855950742525,-99.60705581009466,53.04197037237108,1.9073486328125e-06,20,0,-103.24128761479443,-102.0844163382745,9.5367431640625e-06,True,True,True
reduced_coupling,centered_full_action_dqn - standard_dqn,20,-0.19644608666747843,-0.36773062667637174,-0.033241496921609756,0.7063640025751611,0.04138946533203125,15,5,-0.2262189164796947,-0.1442788627900579,,False,True,False
reduced_coupling,centered_full_action_dqn - mpc_h4,20,1.9111577595048792,1.7383633501989713,2.0888895395045597,-7.435461964909071,1.9073486328125e-06,0,20,1.8740782757352477,1.9431492932700536,,False,False,False
reduced_coupling,mpc_h4 - immediate_argmin,20,-0.9505733929994007,-1.1289189185981388,-0.7633646360507627,3.5663635812043544,1.9073486328125e-06,20,0,-0.9952562815892931,-0.9102037978527864,,False,True,False
static,centered_full_action_dqn - standard_dqn,20,-0.18223181856796167,-0.48059052502363964,0.10334666162170437,0.6787993245496818,0.01181793212890625,16,4,-0.2493983068160323,-0.09751056391549745,,False,True,False
static,centered_full_action_dqn - mpc_h4,20,2.1118546031415453,1.8838234846228727,2.340637756518088,-8.601518841247376,1.9073486328125e-06,0,20,2.0636162043990267,2.159970221139097,,False,False,False
static,mpc_h4 - immediate_argmin,20,0.0,0.0,0.0,-0.0,1.0,0,0,0.0,0.0,,False,False,False
thermal_stress,centered_full_action_dqn - standard_dqn,20,-0.44755786625854627,-0.7487046351352218,-0.2215611555457114,0.45879213674593544,0.04138946533203125,15,5,-0.48200957836485187,-0.3280633567371654,0.0827789306640625,True,True,False
thermal_stress,centered_full_action_dqn - mpc_h4,20,-12.093873981261186,-12.528591604585648,-11.655950424981354,11.07521413545624,1.9073486328125e-06,20,0,-12.194769575718418,-11.980803196628663,9.5367431640625e-06,True,True,True
thermal_stress,mpc_h4 - immediate_argmin,20,-138.3858597805231,-140.42590189051677,-136.32531040551618,55.8946182722315,1.9073486328125e-06,20,0,-138.78993647739034,-137.99804473456396,9.5367431640625e-06,True,True,True
