scenario,comparison,model_seed,difference
burst,centered_full_action_dqn - standard_dqn,800,0.12199328251183772
burst,centered_full_action_dqn - standard_dqn,801,-0.6193551585823229
burst,centered_full_action_dqn - standard_dqn,802,-0.15594537176191636
burst,centered_full_action_dqn - standard_dqn,803,-0.43534963130952065
burst,centered_full_action_dqn - standard_dqn,804,-0.6233107230812323
burst,centered_full_action_dqn - standard_dqn,805,-0.5838013333082301
burst,centered_full_action_dqn - standard_dqn,806,-0.44112881511449586
burst,centered_full_action_dqn - standard_dqn,807,-0.3483692482113838
burst,centered_full_action_dqn - standard_dqn,808,-0.8238758937269495
burst,centered_full_action_dqn - standard_dqn,809,0.13236583039166305
burst,centered_full_action_dqn - standard_dqn,810,-0.7789083644002659
burst,centered_full_action_dqn - standard_dqn,811,-0.6719008243829165
burst,centered_full_action_dqn - standard_dqn,812,-0.03497650347649994
burst,centered_full_action_dqn - standard_dqn,813,0.003190111368894577
burst,centered_full_action_dqn - standard_dqn,814,-0.3708987347781658
burst,centered_full_action_dqn - standard_dqn,815,-2.4729431231319836
burst,centered_full_action_dqn - standard_dqn,816,-0.49798560187221597
burst,centered_full_action_dqn - standard_dqn,817,-0.2619874890148708
burst,centered_full_action_dqn - standard_dqn,818,-0.3212868009507588
burst,centered_full_action_dqn - standard_dqn,819,-0.33165523096919003
burst,centered_full_action_dqn - mpc_h4,800,-11.21647772079524
burst,centered_full_action_dqn - mpc_h4,801,-10.847210305975509
burst,centered_full_action_dqn - mpc_h4,802,-11.88394813008162
burst,centered_full_action_dqn - mpc_h4,803,-13.090113273430987
burst,centered_full_action_dqn - mpc_h4,804,-12.247787968188334
burst,centered_full_action_dqn - mpc_h4,805,-11.643617817161882
burst,centered_full_action_dqn - mpc_h4,806,-11.046197635703692
burst,centered_full_action_dqn - mpc_h4,807,-10.975964959571769
burst,centered_full_action_dqn - mpc_h4,808,-12.470436494296905
burst,centered_full_action_dqn - mpc_h4,809,-11.30845558913974
burst,centered_full_action_dqn - mpc_h4,810,-11.649796655390546
burst,centered_full_action_dqn - mpc_h4,811,-11.818141109008181
burst,centered_full_action_dqn - mpc_h4,812,-12.195944592044086
burst,centered_full_action_dqn - mpc_h4,813,-10.974291244385256
burst,centered_full_action_dqn - mpc_h4,814,-9.110804101940559
burst,centered_full_action_dqn - mpc_h4,815,-11.373510058729394
burst,centered_full_action_dqn - mpc_h4,816,-11.83633076700491
burst,centered_full_action_dqn - mpc_h4,817,-13.28821704609443
burst,centered_full_action_dqn - mpc_h4,818,-10.718906935134243
burst,centered_full_action_dqn - mpc_h4,819,-9.554343423259425
burst,mpc_h4 - immediate_argmin,800,-139.15603967781453
burst,mpc_h4 - immediate_argmin,801,-137.8653100067204
burst,mpc_h4 - immediate_argmin,802,-130.8280990599455
burst,mpc_h4 - immediate_argmin,803,-126.00467468121771
burst,mpc_h4 - immediate_argmin,804,-139.65572255921273
burst,mpc_h4 - immediate_argmin,805,-134.83935177861812
burst,mpc_h4 - immediate_argmin,806,-132.19123009850955
burst,mpc_h4 - immediate_argmin,807,-136.50066747421454
burst,mpc_h4 - immediate_argmin,808,-137.79290447373958
burst,mpc_h4 - immediate_argmin,809,-139.57424884824718
burst,mpc_h4 - immediate_argmin,810,-132.69667900125626
burst,mpc_h4 - immediate_argmin,811,-138.3448643517982
burst,mpc_h4 - immediate_argmin,812,-124.32878963538084
burst,mpc_h4 - immediate_argmin,813,-130.38302647382613
burst,mpc_h4 - immediate_argmin,814,-129.07899368623353
burst,mpc_h4 - immediate_argmin,815,-127.76892032417672
burst,mpc_h4 - immediate_argmin,816,-126.44960012114478
burst,mpc_h4 - immediate_argmin,817,-137.70766147517767
burst,mpc_h4 - immediate_argmin,818,-125.47573418961034
burst,mpc_h4 - immediate_argmin,819,-130.3573850824236
energy_limited,centered_full_action_dqn - standard_dqn,800,0.5758439086377649
energy_limited,centered_full_action_dqn - standard_dqn,801,-0.7781335610151245
energy_limited,centered_full_action_dqn - standard_dqn,802,-1.069850406274199
energy_limited,centered_full_action_dqn - standard_dqn,803,-0.8668055824190475
energy_limited,centered_full_action_dqn - standard_dqn,804,-1.0434796463698177
energy_limited,centered_full_action_dqn - standard_dqn,805,-0.5837891750037727
energy_limited,centered_full_action_dqn - standard_dqn,806,-1.6633328701555712
energy_limited,centered_full_action_dqn - standard_dqn,807,0.43055363483728115
energy_limited,centered_full_action_dqn - standard_dqn,808,-1.9203229884803221
energy_limited,centered_full_action_dqn - standard_dqn,809,-0.11406550310550756
energy_limited,centered_full_action_dqn - standard_dqn,810,-0.004276805594557231
energy_limited,centered_full_action_dqn - standard_dqn,811,-1.4412613942474053
energy_limited,centered_full_action_dqn - standard_dqn,812,-0.8985294933617212
energy_limited,centered_full_action_dqn - standard_dqn,813,0.7777955153584486
energy_limited,centered_full_action_dqn - standard_dqn,814,-0.4772039589285839
energy_limited,centered_full_action_dqn - standard_dqn,815,-3.787908920682966
energy_limited,centered_full_action_dqn - standard_dqn,816,1.4299286118149723
energy_limited,centered_full_action_dqn - standard_dqn,817,-0.3315139449387914
energy_limited,centered_full_action_dqn - standard_dqn,818,-1.3648268441855862
energy_limited,centered_full_action_dqn - standard_dqn,819,-0.43721001446247953
energy_limited,centered_full_action_dqn - mpc_h4,800,-6.591697764612036
energy_limited,centered_full_action_dqn - mpc_h4,801,-6.378675920044486
energy_limited,centered_full_action_dqn - mpc_h4,802,-7.839436675019996
energy_limited,centered_full_action_dqn - mpc_h4,803,-7.414353745753715
energy_limited,centered_full_action_dqn - mpc_h4,804,-4.992531382177532
energy_limited,centered_full_action_dqn - mpc_h4,805,-8.254872979870996
energy_limited,centered_full_action_dqn - mpc_h4,806,-8.285183711617407
energy_limited,centered_full_action_dqn - mpc_h4,807,-5.514553876474764
energy_limited,centered_full_action_dqn - mpc_h4,808,-7.902272348208754
energy_limited,centered_full_action_dqn - mpc_h4,809,-6.666080955293609
energy_limited,centered_full_action_dqn - mpc_h4,810,-7.871293769053352
energy_limited,centered_full_action_dqn - mpc_h4,811,-7.407062622819055
energy_limited,centered_full_action_dqn - mpc_h4,812,-8.452432367322686
energy_limited,centered_full_action_dqn - mpc_h4,813,-6.07727624068562
energy_limited,centered_full_action_dqn - mpc_h4,814,-7.438348655367619
energy_limited,centered_full_action_dqn - mpc_h4,815,-6.297972566066079
energy_limited,centered_full_action_dqn - mpc_h4,816,-6.6654403038567125
energy_limited,centered_full_action_dqn - mpc_h4,817,-9.399625876650049
energy_limited,centered_full_action_dqn - mpc_h4,818,-7.159954188570779
energy_limited,centered_full_action_dqn - mpc_h4,819,-3.437817957260748
energy_limited,mpc_h4 - immediate_argmin,800,-103.17025059608781
energy_limited,mpc_h4 - immediate_argmin,801,-102.79433614488903
energy_limited,mpc_h4 - immediate_argmin,802,-101.51998732392174
energy_limited,mpc_h4 - immediate_argmin,803,-88.55727174241741
energy_limited,mpc_h4 - immediate_argmin,804,-101.14949390227355
energy_limited,mpc_h4 - immediate_argmin,805,-107.29950241526844
energy_limited,mpc_h4 - immediate_argmin,806,-105.33236800658274
energy_limited,mpc_h4 - immediate_argmin,807,-103.83111661430786
energy_limited,mpc_h4 - immediate_argmin,808,-108.72652867318914
energy_limited,mpc_h4 - immediate_argmin,809,-104.52511475419229
energy_limited,mpc_h4 - immediate_argmin,810,-100.56862509942957
energy_limited,mpc_h4 - immediate_argmin,811,-107.30321909729679
energy_limited,mpc_h4 - immediate_argmin,812,-95.16003009147013
energy_limited,mpc_h4 - immediate_argmin,813,-90.61240381216871
energy_limited,mpc_h4 - immediate_argmin,814,-94.05148752785266
energy_limited,mpc_h4 - immediate_argmin,815,-96.09823434901261
energy_limited,mpc_h4 - immediate_argmin,816,-88.03876397816856
energy_limited,mpc_h4 - immediate_argmin,817,-101.8717902373325
energy_limited,mpc_h4 - immediate_argmin,818,-93.41922336921346
energy_limited,mpc_h4 - immediate_argmin,819,-92.23523727254731
link_limited,centered_full_action_dqn - standard_dqn,800,0.4387772720307055
link_limited,centered_full_action_dqn - standard_dqn,801,0.30186572670936584
link_limited,centered_full_action_dqn - standard_dqn,802,-0.7718039564788342
link_limited,centered_full_action_dqn - standard_dqn,803,-0.882728556543583
link_limited,centered_full_action_dqn - standard_dqn,804,-0.47935673929750067
link_limited,centered_full_action_dqn - standard_dqn,805,-0.5831635162234221
link_limited,centered_full_action_dqn - standard_dqn,806,-0.5192779722809888
link_limited,centered_full_action_dqn - standard_dqn,807,0.07287013605237291
link_limited,centered_full_action_dqn - standard_dqn,808,-1.600615158826102
link_limited,centered_full_action_dqn - standard_dqn,809,-0.05170934721827791
link_limited,centered_full_action_dqn - standard_dqn,810,-1.311862701252096
link_limited,centered_full_action_dqn - standard_dqn,811,-0.6089106664806678
link_limited,centered_full_action_dqn - standard_dqn,812,0.2560695625841589
link_limited,centered_full_action_dqn - standard_dqn,813,0.6225033684074788
link_limited,centered_full_action_dqn - standard_dqn,814,-0.34287188351153475
link_limited,centered_full_action_dqn - standard_dqn,815,-1.97102574482561
link_limited,centered_full_action_dqn - standard_dqn,816,-1.2679514159262197
link_limited,centered_full_action_dqn - standard_dqn,817,-0.10431158058344181
link_limited,centered_full_action_dqn - standard_dqn,818,-0.4450688024610372
link_limited,centered_full_action_dqn - standard_dqn,819,-0.013785647228360176
link_limited,centered_full_action_dqn - mpc_h4,800,-14.607321528867075
link_limited,centered_full_action_dqn - mpc_h4,801,-14.313775738900887
link_limited,centered_full_action_dqn - mpc_h4,802,-15.521795051283434
link_limited,centered_full_action_dqn - mpc_h4,803,-14.380284444174308
link_limited,centered_full_action_dqn - mpc_h4,804,-13.527055417758817
link_limited,centered_full_action_dqn - mpc_h4,805,-13.448653144968546
link_limited,centered_full_action_dqn - mpc_h4,806,-14.38680745207347
link_limited,centered_full_action_dqn - mpc_h4,807,-13.829639195378562
link_limited,centered_full_action_dqn - mpc_h4,808,-13.550152223847249
link_limited,centered_full_action_dqn - mpc_h4,809,-14.220735223213111
link_limited,centered_full_action_dqn - mpc_h4,810,-13.372912957385267
link_limited,centered_full_action_dqn - mpc_h4,811,-13.463449751632126
link_limited,centered_full_action_dqn - mpc_h4,812,-14.812008559533325
link_limited,centered_full_action_dqn - mpc_h4,813,-13.535051674444901
link_limited,centered_full_action_dqn - mpc_h4,814,-13.707306142539949
link_limited,centered_full_action_dqn - mpc_h4,815,-15.203285902345826
link_limited,centered_full_action_dqn - mpc_h4,816,-13.167539009887633
link_limited,centered_full_action_dqn - mpc_h4,817,-13.310730373694142
link_limited,centered_full_action_dqn - mpc_h4,818,-12.252778366192857
link_limited,centered_full_action_dqn - mpc_h4,819,-14.07034285207952
link_limited,mpc_h4 - immediate_argmin,800,-154.79388331758713
link_limited,mpc_h4 - immediate_argmin,801,-158.14259983633607
link_limited,mpc_h4 - immediate_argmin,802,-156.29480153519387
link_limited,mpc_h4 - immediate_argmin,803,-152.98657640281226
link_limited,mpc_h4 - immediate_argmin,804,-155.68692756499235
link_limited,mpc_h4 - immediate_argmin,805,-154.13214690832245
link_limited,mpc_h4 - immediate_argmin,806,-154.53267404241387
link_limited,mpc_h4 - immediate_argmin,807,-166.54987781532168
link_limited,mpc_h4 - immediate_argmin,808,-166.3302197840464
link_limited,mpc_h4 - immediate_argmin,809,-158.05149215236708
link_limited,mpc_h4 - immediate_argmin,810,-147.21360726304707
link_limited,mpc_h4 - immediate_argmin,811,-165.997098520719
link_limited,mpc_h4 - immediate_argmin,812,-149.20259683159443
link_limited,mpc_h4 - immediate_argmin,813,-148.9361233910275
link_limited,mpc_h4 - immediate_argmin,814,-152.33302813857605
link_limited,mpc_h4 - immediate_argmin,815,-162.3867737432083
link_limited,mpc_h4 - immediate_argmin,816,-141.2465305566875
link_limited,mpc_h4 - immediate_argmin,817,-162.06945574909724
link_limited,mpc_h4 - immediate_argmin,818,-159.01519283099168
link_limited,mpc_h4 - immediate_argmin,819,-159.94895846433724
nominal,centered_full_action_dqn - standard_dqn,800,-0.04622095711529539
nominal,centered_full_action_dqn - standard_dqn,801,-0.8578411029279209
nominal,centered_full_action_dqn - standard_dqn,802,-0.2865457347780449
nominal,centered_full_action_dqn - standard_dqn,803,-0.3697493113577366
nominal,centered_full_action_dqn - standard_dqn,804,-1.218572477921839
nominal,centered_full_action_dqn - standard_dqn,805,-0.7782092374563234
nominal,centered_full_action_dqn - standard_dqn,806,-0.561005566865191
nominal,centered_full_action_dqn - standard_dqn,807,0.019046115800733787
nominal,centered_full_action_dqn - standard_dqn,808,-1.047955031394963
nominal,centered_full_action_dqn - standard_dqn,809,0.18442571401595842
nominal,centered_full_action_dqn - standard_dqn,810,-1.207174754813309
nominal,centered_full_action_dqn - standard_dqn,811,-0.9564461238682327
nominal,centered_full_action_dqn - standard_dqn,812,0.19575400516390573
nominal,centered_full_action_dqn - standard_dqn,813,-0.15447655402124383
nominal,centered_full_action_dqn - standard_dqn,814,-0.5078884333372145
nominal,centered_full_action_dqn - standard_dqn,815,-3.0004750613868083
nominal,centered_full_action_dqn - standard_dqn,816,-1.0228624565154263
nominal,centered_full_action_dqn - standard_dqn,817,-0.5759782698005438
nominal,centered_full_action_dqn - standard_dqn,818,-0.2917338198795818
nominal,centered_full_action_dqn - standard_dqn,819,-0.8839371310174471
nominal,centered_full_action_dqn - mpc_h4,800,-13.08170849982342
nominal,centered_full_action_dqn - mpc_h4,801,-13.712113060094666
nominal,centered_full_action_dqn - mpc_h4,802,-13.279615291929886
nominal,centered_full_action_dqn - mpc_h4,803,-13.480319669401311
nominal,centered_full_action_dqn - mpc_h4,804,-14.568856875316769
nominal,centered_full_action_dqn - mpc_h4,805,-13.959844820283877
nominal,centered_full_action_dqn - mpc_h4,806,-12.993451810756369
nominal,centered_full_action_dqn - mpc_h4,807,-11.480053667018367
nominal,centered_full_action_dqn - mpc_h4,808,-13.584772477904423
nominal,centered_full_action_dqn - mpc_h4,809,-11.766296981560629
nominal,centered_full_action_dqn - mpc_h4,810,-15.324498993609609
nominal,centered_full_action_dqn - mpc_h4,811,-13.800586481096161
nominal,centered_full_action_dqn - mpc_h4,812,-12.835600232626916
nominal,centered_full_action_dqn - mpc_h4,813,-12.946271305071718
nominal,centered_full_action_dqn - mpc_h4,814,-11.299218429395154
nominal,centered_full_action_dqn - mpc_h4,815,-12.867816356011659
nominal,centered_full_action_dqn - mpc_h4,816,-13.679803512185714
nominal,centered_full_action_dqn - mpc_h4,817,-15.148984580366715
nominal,centered_full_action_dqn - mpc_h4,818,-12.588168830353922
nominal,centered_full_action_dqn - mpc_h4,819,-10.935696857211042
nominal,mpc_h4 - immediate_argmin,800,-107.33943686367476
nominal,mpc_h4 - immediate_argmin,801,-107.49951855150562
nominal,mpc_h4 - immediate_argmin,802,-104.5580985513311
nominal,mpc_h4 - immediate_argmin,803,-90.32643894999076
nominal,mpc_h4 - immediate_argmin,804,-104.0239636709197
nominal,mpc_h4 - immediate_argmin,805,-110.55894979442398
nominal,mpc_h4 - immediate_argmin,806,-108.127489429132
nominal,mpc_h4 - immediate_argmin,807,-107.61057492542427
nominal,mpc_h4 - immediate_argmin,808,-112.30699320386977
nominal,mpc_h4 - immediate_argmin,809,-107.79643064440955
nominal,mpc_h4 - immediate_argmin,810,-105.31684409828145
nominal,mpc_h4 - immediate_argmin,811,-112.06468388008807
nominal,mpc_h4 - immediate_argmin,812,-98.53195162210622
nominal,mpc_h4 - immediate_argmin,813,-94.09735913740624
nominal,mpc_h4 - immediate_argmin,814,-97.68681154803764
nominal,mpc_h4 - immediate_argmin,815,-97.67360117543208
nominal,mpc_h4 - immediate_argmin,816,-90.82558820090681
nominal,mpc_h4 - immediate_argmin,817,-103.65299671923721
nominal,mpc_h4 - immediate_argmin,818,-97.36602500702341
nominal,mpc_h4 - immediate_argmin,819,-94.54714765788428
