gamma,treatment,reference,n_pairs,mean_difference,ci95_low,ci95_high,sign_p,holm_p
0.9,double_centered_full_action_dqn,mpc4,20,-10.779089012345242,-11.514919027607483,-10.114818398282067,1.9073486328125e-06,4.57763671875e-05
0.9,double_dqn,mpc4,20,-10.129718713574198,-11.022942272571502,-9.257985453763622,1.9073486328125e-06,4.57763671875e-05
0.9,centered_full_action_dqn,mpc4,20,-10.678557784673014,-11.387017684121583,-10.020331248681622,1.9073486328125e-06,4.57763671875e-05
0.9,full_action_q_dqn,mpc4,20,-10.321029511332593,-11.24834273439109,-9.470758534967215,1.9073486328125e-06,4.57763671875e-05
0.9,immediate_advantage_dqn,mpc4,20,-8.797736027176848,-9.71264721253675,-7.947836859813839,1.9073486328125e-06,4.57763671875e-05
0.9,standard_dqn,mpc4,20,-10.246214379552837,-10.958854564367675,-9.55779629254833,1.9073486328125e-06,4.57763671875e-05
0.95,double_centered_full_action_dqn,mpc4,20,-12.916396701918561,-13.405113945485995,-12.42746752918475,1.9073486328125e-06,4.57763671875e-05
0.95,double_dqn,mpc4,20,-12.524166321279122,-13.071244072910275,-11.95030219237067,1.9073486328125e-06,4.57763671875e-05
0.95,centered_full_action_dqn,mpc4,20,-13.105744927495362,-13.550832579346311,-12.654004800703472,1.9073486328125e-06,4.57763671875e-05
0.95,full_action_q_dqn,mpc4,20,-12.85148120451683,-13.277676115774335,-12.444591447393336,1.9073486328125e-06,4.57763671875e-05
0.95,immediate_advantage_dqn,mpc4,20,-12.940931251592577,-13.380053330797182,-12.50716648237048,1.9073486328125e-06,4.57763671875e-05
0.95,standard_dqn,mpc4,20,-12.673359120729955,-13.1879796662768,-12.130671003988498,1.9073486328125e-06,4.57763671875e-05
0.97,double_centered_full_action_dqn,mpc4,20,-13.09844333269761,-13.606758115849098,-12.592673687036376,1.9073486328125e-06,4.57763671875e-05
0.97,double_dqn,mpc4,20,-12.430002988080838,-13.01319778948663,-11.809104394284773,1.9073486328125e-06,4.57763671875e-05
0.97,centered_full_action_dqn,mpc4,20,-13.166683936600915,-13.66222948552323,-12.663912952919251,1.9073486328125e-06,4.57763671875e-05
0.97,full_action_q_dqn,mpc4,20,-12.687371620401153,-13.227046206912373,-12.084304661047478,1.9073486328125e-06,4.57763671875e-05
0.97,immediate_advantage_dqn,mpc4,20,-12.987219124148941,-13.491809835324403,-12.43550124638902,1.9073486328125e-06,4.57763671875e-05
0.97,standard_dqn,mpc4,20,-12.498291627127088,-12.989254441607837,-11.97968172431745,1.9073486328125e-06,4.57763671875e-05
0.99,double_centered_full_action_dqn,mpc4,20,-12.549888810243198,-13.205053034340782,-11.792285895592627,1.9073486328125e-06,4.57763671875e-05
0.99,double_dqn,mpc4,20,-7.672802310955737,-10.530625122021812,-4.045673594524187,0.0025768280029296875,0.0025768280029296875
0.99,centered_full_action_dqn,mpc4,20,-12.231698344815262,-12.882806744513381,-11.528665619971065,1.9073486328125e-06,4.57763671875e-05
0.99,full_action_q_dqn,mpc4,20,-11.059527664415278,-12.157023565639257,-9.856002581104306,1.9073486328125e-06,4.57763671875e-05
0.99,immediate_advantage_dqn,mpc4,20,-11.482315567858254,-12.469415682528023,-10.368747962754243,1.9073486328125e-06,4.57763671875e-05
0.99,standard_dqn,mpc4,20,-9.200645188752818,-11.718001959275865,-5.488059796339377,0.0004024505615234375,0.000804901123046875
