variant,gamma,model_seed,total_cost,trace_seed
standard_dqn,0.95,800,79.0059012696147,3300000
standard_dqn,0.95,800,78.73619203567505,3300001
standard_dqn,0.95,800,73.88332460075617,3300002
standard_dqn,0.95,800,88.43488118201495,3300003
standard_dqn,0.95,800,80.58104193210602,3300004
standard_dqn,0.95,800,77.12407837212086,3300005
standard_dqn,0.95,800,71.06236299425363,3300006
standard_dqn,0.95,800,75.83953792601824,3300007
standard_dqn,0.95,800,98.49298215061427,3300008
standard_dqn,0.95,800,75.40393241792917,3300009
standard_dqn,0.95,800,78.49682497382165,3300010
standard_dqn,0.95,800,77.57454171180726,3300011
standard_dqn,0.95,800,80.88359517753125,3300012
standard_dqn,0.95,800,66.2583623111248,3300013
standard_dqn,0.95,800,73.03943479061127,3300014
standard_dqn,0.95,800,88.98326578736305,3300015
standard_dqn,0.95,800,72.30438362956048,3300016
standard_dqn,0.95,800,79.20150625854731,3300017
standard_dqn,0.95,800,84.23913937807083,3300018
standard_dqn,0.95,800,72.07250482589006,3300019
standard_dqn,0.95,801,92.63654785007239,3301000
standard_dqn,0.95,801,84.17421438694001,3301001
standard_dqn,0.95,801,82.67652366608381,3301002
standard_dqn,0.95,801,78.84146682173014,3301003
standard_dqn,0.95,801,64.69311885535717,3301004
standard_dqn,0.95,801,83.11775373071433,3301005
standard_dqn,0.95,801,70.5151164457202,3301006
standard_dqn,0.95,801,95.83909975290298,3301007
standard_dqn,0.95,801,76.0436426639557,3301008
standard_dqn,0.95,801,83.73537304401398,3301009
standard_dqn,0.95,801,89.12781363725662,3301010
standard_dqn,0.95,801,60.67628300189972,3301011
standard_dqn,0.95,801,80.08782044053078,3301012
standard_dqn,0.95,801,76.95201576203108,3301013
standard_dqn,0.95,801,78.44629869610071,3301014
standard_dqn,0.95,801,75.49218603372574,3301015
standard_dqn,0.95,801,69.81432765722275,3301016
standard_dqn,0.95,801,73.1813080534339,3301017
standard_dqn,0.95,801,95.49085406363011,3301018
standard_dqn,0.95,801,91.14172858893872,3301019
standard_dqn,0.95,802,73.81731895506383,3302000
standard_dqn,0.95,802,89.77912449091673,3302001
standard_dqn,0.95,802,85.33967497497797,3302002
standard_dqn,0.95,802,80.05780967473984,3302003
standard_dqn,0.95,802,84.05136463344097,3302004
standard_dqn,0.95,802,67.39208422601223,3302005
standard_dqn,0.95,802,90.72893408089877,3302006
standard_dqn,0.95,802,85.90396786481142,3302007
standard_dqn,0.95,802,88.41355054229498,3302008
standard_dqn,0.95,802,66.11663171797991,3302009
standard_dqn,0.95,802,72.43036813437939,3302010
standard_dqn,0.95,802,67.43818556815386,3302011
standard_dqn,0.95,802,75.59579121470452,3302012
standard_dqn,0.95,802,76.77235257774592,3302013
standard_dqn,0.95,802,78.10687992870808,3302014
standard_dqn,0.95,802,72.74791695922613,3302015
standard_dqn,0.95,802,80.8369754627347,3302016
standard_dqn,0.95,802,77.12840397506952,3302017
standard_dqn,0.95,802,78.67511768639088,3302018
standard_dqn,0.95,802,78.2819347769022,3302019
standard_dqn,0.95,803,72.74246419221163,3303000
standard_dqn,0.95,803,68.30958190560341,3303001
standard_dqn,0.95,803,76.53029455393553,3303002
standard_dqn,0.95,803,72.82839279770852,3303003
standard_dqn,0.95,803,67.13452801853418,3303004
standard_dqn,0.95,803,87.59233403205872,3303005
standard_dqn,0.95,803,73.19846621155739,3303006
standard_dqn,0.95,803,87.33640931546688,3303007
standard_dqn,0.95,803,83.00014548301696,3303008
standard_dqn,0.95,803,80.56855782270432,3303009
standard_dqn,0.95,803,76.80522076785564,3303010
standard_dqn,0.95,803,72.99515876173973,3303011
standard_dqn,0.95,803,68.22077390551567,3303012
standard_dqn,0.95,803,77.12238523364067,3303013
standard_dqn,0.95,803,62.04189014583826,3303014
standard_dqn,0.95,803,78.07246419042349,3303015
standard_dqn,0.95,803,55.70018880069256,3303016
standard_dqn,0.95,803,85.1561439409852,3303017
standard_dqn,0.95,803,69.41622781008482,3303018
standard_dqn,0.95,803,98.34983076453209,3303019
standard_dqn,0.95,804,74.68106803447009,3304000
standard_dqn,0.95,804,80.07728453874589,3304001
standard_dqn,0.95,804,80.00546444356442,3304002
standard_dqn,0.95,804,71.89824553132057,3304003
standard_dqn,0.95,804,55.81886342465877,3304004
standard_dqn,0.95,804,82.1064355313778,3304005
standard_dqn,0.95,804,84.40795868039132,3304006
standard_dqn,0.95,804,97.72385770082474,3304007
standard_dqn,0.95,804,61.853346079587936,3304008
standard_dqn,0.95,804,83.35114151239395,3304009
standard_dqn,0.95,804,79.4610889196396,3304010
standard_dqn,0.95,804,80.29424676299095,3304011
standard_dqn,0.95,804,73.51738912016154,3304012
standard_dqn,0.95,804,76.64135016053915,3304013
standard_dqn,0.95,804,66.01662172824145,3304014
standard_dqn,0.95,804,78.69786197990179,3304015
standard_dqn,0.95,804,70.29503737390041,3304016
standard_dqn,0.95,804,64.99836710095406,3304017
standard_dqn,0.95,804,91.07397759854794,3304018
standard_dqn,0.95,804,81.05111433565617,3304019
standard_dqn,0.95,805,88.27096650898457,3305000
standard_dqn,0.95,805,84.92091447114944,3305001
standard_dqn,0.95,805,60.96637926995754,3305002
standard_dqn,0.95,805,79.17201734632253,3305003
standard_dqn,0.95,805,93.5251060217619,3305004
standard_dqn,0.95,805,91.98145512491465,3305005
standard_dqn,0.95,805,79.53775076568127,3305006
standard_dqn,0.95,805,86.23892575502396,3305007
standard_dqn,0.95,805,90.59719346761703,3305008
standard_dqn,0.95,805,75.80688697844744,3305009
standard_dqn,0.95,805,85.25688524246216,3305010
standard_dqn,0.95,805,65.05292878895997,3305011
standard_dqn,0.95,805,70.58910582959652,3305012
standard_dqn,0.95,805,84.33932697176934,3305013
standard_dqn,0.95,805,59.122192543745044,3305014
standard_dqn,0.95,805,76.63354932814836,3305015
standard_dqn,0.95,805,72.86593817472458,3305016
standard_dqn,0.95,805,68.44372966140509,3305017
standard_dqn,0.95,805,96.53833565860987,3305018
standard_dqn,0.95,805,77.58503834456205,3305019
standard_dqn,0.95,806,88.31360879540443,3306000
standard_dqn,0.95,806,72.34380897283555,3306001
standard_dqn,0.95,806,85.93417870402337,3306002
standard_dqn,0.95,806,56.59106271713972,3306003
standard_dqn,0.95,806,79.16642846167088,3306004
standard_dqn,0.95,806,88.76085011065007,3306005
standard_dqn,0.95,806,81.95347385406494,3306006
standard_dqn,0.95,806,95.24441465735435,3306007
standard_dqn,0.95,806,80.34606725722551,3306008
standard_dqn,0.95,806,83.07333723455667,3306009
standard_dqn,0.95,806,83.77796376347541,3306010
standard_dqn,0.95,806,63.958183887600896,3306011
standard_dqn,0.95,806,71.90625992715358,3306012
standard_dqn,0.95,806,75.63113043606282,3306013
standard_dqn,0.95,806,89.6769420593977,3306014
standard_dqn,0.95,806,76.38230045288802,3306015
standard_dqn,0.95,806,75.90490755438805,3306016
standard_dqn,0.95,806,69.57484001666307,3306017
standard_dqn,0.95,806,73.59700492918492,3306018
standard_dqn,0.95,806,82.01724339425564,3306019
standard_dqn,0.95,807,70.49560089558364,3307000
standard_dqn,0.95,807,83.67426982522011,3307001
standard_dqn,0.95,807,85.51711552143097,3307002
standard_dqn,0.95,807,62.44044895768165,3307003
standard_dqn,0.95,807,97.09487421214581,3307004
standard_dqn,0.95,807,93.4346670895815,3307005
standard_dqn,0.95,807,88.52628716826439,3307006
