variant,gamma,model_seed,episodes,training_steps,curve_file,final_cost,final_rolling_cost
standard_dqn,0.99,800,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_800__curve.csv,72.66483994722367,79.21622263059021
standard_dqn,0.99,801,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_801__curve.csv,68.12712998688221,78.9028057858348
standard_dqn,0.99,802,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_802__curve.csv,81.39457857012749,81.92836501039565
standard_dqn,0.99,803,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_803__curve.csv,85.36691556125879,83.45036815889179
standard_dqn,0.99,804,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_804__curve.csv,71.89084288477898,83.67232378907502
standard_dqn,0.99,805,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_805__curve.csv,73.69210320860148,82.8828606746346
standard_dqn,0.99,806,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_806__curve.csv,80.48786550164223,81.7486467510462
standard_dqn,0.99,807,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_807__curve.csv,104.24067603051662,87.98293588660657
standard_dqn,0.99,808,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_808__curve.csv,77.56193668395281,81.16067989207804
standard_dqn,0.99,809,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_809__curve.csv,81.26348190754652,80.3442695093155
standard_dqn,0.99,810,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_810__curve.csv,83.31851932555438,84.63416346907617
standard_dqn,0.99,811,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_811__curve.csv,71.83595400452614,79.71303756378593
standard_dqn,0.99,812,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_812__curve.csv,98.71769631654024,84.02402045913041
standard_dqn,0.99,813,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_813__curve.csv,71.6131712064147,81.59956649243831
standard_dqn,0.99,814,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_814__curve.csv,64.45849302560092,85.67041498199106
standard_dqn,0.99,815,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_815__curve.csv,83.95914869755507,82.52291499868036
standard_dqn,0.99,816,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_816__curve.csv,99.84725831449032,86.70143013991415
standard_dqn,0.99,817,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_817__curve.csv,71.59201610833406,83.12796128444374
standard_dqn,0.99,818,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_818__curve.csv,85.46835849434137,79.31294661805035
standard_dqn,0.99,819,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/standard_dqn__gamma_0p99__seed_819__curve.csv,79.90134970247746,82.14821336209775
full_action_q_dqn,0.99,800,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/full_action_q_dqn__gamma_0p99__seed_800__curve.csv,68.55279343724251,78.94515496768058
full_action_q_dqn,0.99,801,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/full_action_q_dqn__gamma_0p99__seed_801__curve.csv,69.4135706871748,78.77103196837008
full_action_q_dqn,0.99,802,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/full_action_q_dqn__gamma_0p99__seed_802__curve.csv,82.6938081547618,82.99834626264871
full_action_q_dqn,0.99,803,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/full_action_q_dqn__gamma_0p99__seed_803__curve.csv,85.43044872581959,82.49875333547593
full_action_q_dqn,0.99,804,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/full_action_q_dqn__gamma_0p99__seed_804__curve.csv,72.16434351354837,83.0204799924791
full_action_q_dqn,0.99,805,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/full_action_q_dqn__gamma_0p99__seed_805__curve.csv,73.41787198334933,81.93104446254672
full_action_q_dqn,0.99,806,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/full_action_q_dqn__gamma_0p99__seed_806__curve.csv,76.00969146341086,80.874783545509
full_action_q_dqn,0.99,807,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/full_action_q_dqn__gamma_0p99__seed_807__curve.csv,99.07294046878815,85.76504482500255
full_action_q_dqn,0.99,808,600,38400,dqn_family_satellite_ground/results/revision_round2/gamma_models/full_action_q_dqn__gamma_0p99__seed_808__curve.csv,74.87794395536184,80.29821757704019
