variant,model_seed,episode,cost,rolling_cost,immediate_cost,penalty,energy_use,latency_ms,thermal_violation,energy_violation,queue_violation,contact_violation,epsilon,loss,td_loss,auxiliary_loss
full_action_q_dqn,800,0,94.0885107010603,94.0885107010603,32.5539718195796,61.53453911244869,1.5966471321880817,19501.27227783203,0.0,27.0,0.0,1.0,0.9954761904761905,,,
full_action_q_dqn,800,1,128.3850552788421,111.2367829899512,38.924802139401436,89.46025351196967,1.817434954456985,23681.626007080078,0.0,33.0,7.0,0.0,0.9909523809523809,1.653269648551941,1.2624672651290894,1.3026745319366455
full_action_q_dqn,800,2,135.99080929555495,119.4881250918191,42.28894439339638,93.70186490215858,1.8254870530217886,25071.6439743042,0.0,34.0,11.0,1.0,0.9864285714285714,1.5027007460594177,1.146448738873005,1.18750661611557
full_action_q_dqn,800,3,197.12242056135764,138.89669895920375,45.69337148964405,151.42904902701005,1.9816556554287672,27487.231861114502,0.0,38.0,26.0,3.0,0.981904761904762,1.5497216880321503,1.1867954321205616,1.20975411683321
full_action_q_dqn,800,4,126.37339404446512,136.39203797625603,42.05064341425896,84.3227516881886,1.8334336811676621,24512.450286865234,0.0,36.0,4.0,2.0,0.9773809523809524,1.5586418882012367,1.1941205896437168,1.2150709107518196
full_action_q_dqn,800,5,124.640843886137,134.43350562790286,41.682585686445236,82.95825806558132,1.7404389306902885,23549.853023529053,0.0,34.0,0.0,2.0,0.9728571428571429,1.1760503649711609,0.9020161330699921,0.9134473763406277
full_action_q_dqn,800,6,117.81376404124097,132.05925682980828,41.50248270481825,76.31128097879485,1.8106620917096734,24797.368133544922,0.0,29.0,14.0,1.0,0.9683333333333334,0.9722363203763962,0.7474586069583893,0.7492590323090553
full_action_q_dqn,800,7,106.306675106287,128.84018411436813,35.27392089366913,71.03275460004807,1.7122670263051987,21751.319847106934,0.0,30.0,0.0,0.0,0.9638095238095238,0.9596272483468056,0.7380384523421526,0.7386292964220047
full_action_q_dqn,800,8,126.5548864454031,128.58626215114978,45.79896692931652,80.75591917335987,1.78752910066396,25585.06314086914,0.0,34.0,0.0,0.0,0.9592857142857143,0.9875184521079063,0.7594821192324162,0.7601210884749889
full_action_q_dqn,800,9,106.36005502939224,126.36364143897404,36.60700502991676,69.75304937362671,1.6610061405226588,21195.733402252197,0.0,30.0,0.0,0.0,0.9547619047619048,0.6325439587235451,0.4875005315989256,0.4834780562669039
full_action_q_dqn,800,10,168.3891341028662,130.18414077205514,43.70087996125221,124.68825426082331,1.8465299969539046,25724.374938964844,0.0,36.0,25.0,1.0,0.9502380952380952,0.4166114367544651,0.3216700693592429,0.3164712209254503
full_action_q_dqn,800,11,109.50770538598299,128.46110448988244,35.3956953138113,74.1120098337531,1.6932088900357485,21215.922203063965,0.0,31.0,0.0,2.0,0.9457142857142857,0.3432106990367174,0.26418844144791365,0.2634075153619051
full_action_q_dqn,800,12,103.66674553602934,126.55384610881683,37.744524113833904,65.9222207069397,1.6737524839118123,22512.776077270508,0.0,27.0,0.0,1.0,0.9411904761904761,0.3153417818248272,0.24140978418290615,0.24643999245017767
full_action_q_dqn,800,13,120.79345029592514,126.14238926503886,40.95026537775993,79.84318548440933,1.7721782801672816,23978.48081970215,0.0,33.0,0.0,0.0,0.9366666666666666,0.23748026974499226,0.18198417499661446,0.1849869703873992
full_action_q_dqn,800,14,102.73078003525734,124.58161531638675,38.11715644598007,64.61362375319004,1.7545104268938303,22920.704845428467,0.0,28.0,0.0,1.0,0.9321428571428572,0.21237254329025745,0.16287467069923878,0.164992893114686
full_action_q_dqn,800,15,158.07638166482812,126.67503821316434,42.2532302737236,115.82315125699404,1.8694346826523542,25272.629264831543,0.0,35.0,27.0,1.0,0.9276190476190476,0.6970724035054445,0.5353399682790041,0.5391080677509308
full_action_q_dqn,800,16,132.48992580668093,127.01709042454767,41.303146094083786,91.18677968279482,1.8217249754816294,24641.985038757324,0.0,38.0,8.0,2.0,0.9230952380952381,0.7245597131550312,0.555590508505702,0.56323067471385
full_action_q_dqn,800,17,111.45326128005982,126.15243324985391,39.454117715358734,71.99914413094521,1.7528589516878128,23099.42590713501,0.0,30.0,0.0,2.0,0.9185714285714286,0.40919020306319,0.31338238436728716,0.3193593733012676
full_action_q_dqn,800,18,122.93142565330052,125.98290653424584,44.65126056969166,78.28016514321351,1.7877403665333986,25641.548236846924,0.0,31.0,12.0,0.0,0.914047619047619,0.32834445498883724,0.2507201852276921,0.2587475571781397
full_action_q_dqn,800,19,143.0972833318337,126.83862537412524,44.07846723496914,99.01881582864364,1.9256815761327744,26703.11456298828,0.0,35.0,12.0,1.0,0.9095238095238095,0.31387669779360294,0.24068723898380995,0.24396484158933163
full_action_q_dqn,800,20,103.32903140187264,127.30065140916585,35.68535654246807,67.64367518723012,1.6066199727356434,20654.39595413208,0.0,30.0,0.0,2.0,0.905,0.263380354270339,0.20136961806565523,0.20670245494693518
full_action_q_dqn,800,21,138.60130182753014,127.81146373660026,38.17453646659851,100.42676534603045,1.7694525308907032,23194.918560028076,0.0,34.0,20.0,1.0,0.9004761904761904,0.29480270203202963,0.22597647178918123,0.22942076437175274
full_action_q_dqn,800,22,112.31644365426152,126.62774545453559,38.923225082457066,73.39321869101374,1.7582495445385575,23403.840705871582,0.0,31.0,4.0,1.0,0.895952380952381,0.23033579951152205,0.17657442530617118,0.1792045719921589
full_action_q_dqn,800,23,128.243905479618,123.18381970044861,43.70140590518713,84.54249995441053,1.824130973778665,25215.277000427246,0.0,35.0,16.0,1.0,0.8914285714285715,0.808345653116703,0.6221005097031593,0.62081712577492
full_action_q_dqn,800,24,136.3817841189031,123.6842392041705,42.80648033320904,93.57530390490338,1.8267118595540524,25082.05703353882,0.0,38.0,8.0,0.0,0.8869047619047619,0.7379780746996403,0.5674736946821213,0.5683478955179453
full_action_q_dqn,800,25,98.25953693687916,122.36517385670761,34.54034459590912,63.719191908836365,1.612377092242241,20286.038990020752,0.0,29.0,0.0,0.0,0.8823809523809524,0.47213609144091606,0.36258645728230476,0.36516541987657547
full_action_q_dqn,800,26,121.98798043107975,122.57388467619955,42.557871386408806,79.43010922348489,1.764576343819499,24618.132320404053,0.0,33.0,6.0,0.0,0.8778571428571429,0.38763053715229034,0.2975588273257017,0.3002390181645751
full_action_q_dqn,800,27,131.53719512628516,123.83541067719943,39.16109710931778,92.37609773384531,1.8608877072110772,24115.222496032715,0.0,33.0,12.0,1.0,0.8733333333333333,0.3760645519942045,0.28714200714603066,0.29640848096460104
