gamma,variant,mean,std,count
0.9,double_centered_full_action_dqn,80.42690173779629,2.217056193374071,20
0.9,double_dqn,81.07627203656733,2.591880616860286,20
0.9,centered_full_action_dqn,80.52743296546852,1.9256760386294547,20
0.9,full_action_q_dqn,80.88496123880893,2.484881118224276,20
0.9,immediate_advantage_dqn,82.40825472296468,2.6247719033064083,20
0.9,standard_dqn,80.95977637058868,2.288814441822004,20
0.95,double_centered_full_action_dqn,78.04065137298778,1.4569932195124566,20
0.95,double_dqn,78.43288175362721,1.6018942112236305,20
0.95,centered_full_action_dqn,77.85130314741097,1.8103481099069632,20
0.95,full_action_q_dqn,78.10556687038951,1.6509981802952922,20
0.95,immediate_advantage_dqn,78.01611682331375,1.5164941568393246,20
0.95,standard_dqn,78.28368895417638,1.853678752679514,20
0.97,double_centered_full_action_dqn,77.729341089271,1.9888086235891802,20
0.97,double_dqn,78.39778143388779,1.9795849455025465,20
0.97,centered_full_action_dqn,77.66110048536771,1.8363428739786603,20
0.97,full_action_q_dqn,78.14041280156746,2.230276256432368,20
0.97,immediate_advantage_dqn,77.84056529781967,1.8240797407484797,20
0.97,standard_dqn,78.32949279484153,1.8848841906705498,20
0.99,double_centered_full_action_dqn,78.16463736124709,2.0661657783273566,20
0.99,double_dqn,83.04172386053455,7.347617514677443,20
0.99,centered_full_action_dqn,78.48282782667503,2.0149912109187835,20
0.99,full_action_q_dqn,79.65499850707502,3.263381619413129,20
0.99,immediate_advantage_dqn,79.23221060363204,2.794902641273437,20
0.99,standard_dqn,81.51388098273748,6.941691259055674,20
