policy,gamma,model_seed,total_cost,trace_seed
greedy8,0.97,800,94.19900084842995,3300000
greedy8,0.97,800,81.91647956073284,3300001
greedy8,0.97,800,76.85192872732878,3300002
greedy8,0.97,800,101.08765226006508,3300003
greedy8,0.97,800,100.45515700937527,3300004
greedy8,0.97,800,85.42154733240605,3300005
greedy8,0.97,800,84.5088759303093,3300006
greedy8,0.97,800,83.24434204150585,3300007
greedy8,0.97,800,111.12825141189701,3300008
greedy8,0.97,800,80.6142094373703,3300009
greedy8,0.97,800,90.53118655539589,3300010
greedy8,0.97,800,83.94396894574166,3300011
greedy8,0.97,800,97.45456229448821,3300012
greedy8,0.97,800,78.21616193950176,3300013
greedy8,0.97,800,80.24852278828621,3300014
greedy8,0.97,800,90.18588183820248,3300015
greedy8,0.97,800,81.31711756048811,3300016
greedy8,0.97,800,94.67715403437614,3300017
greedy8,0.97,800,101.27347921605838,3300018
greedy8,0.97,800,91.10972502827644,3300019
greedy8,0.97,801,104.64004773202842,3301000
greedy8,0.97,801,85.20416764318944,3301001
greedy8,0.97,801,104.24925846755505,3301002
greedy8,0.97,801,84.5390550903216,3301003
greedy8,0.97,801,71.57398664951324,3301004
greedy8,0.97,801,98.2097151964903,3301005
greedy8,0.97,801,84.4734299059875,3301006
greedy8,0.97,801,107.92980282085767,3301007
greedy8,0.97,801,80.08460896611214,3301008
greedy8,0.97,801,105.70122731758238,3301009
greedy8,0.97,801,100.68419801428851,3301010
greedy8,0.97,801,61.59118871539831,3301011
greedy8,0.97,801,90.71818999946117,3301012
greedy8,0.97,801,82.94739069342613,3301013
greedy8,0.97,801,94.2986395374493,3301014
greedy8,0.97,801,77.489630946517,3301015
greedy8,0.97,801,70.75351157039404,3301016
greedy8,0.97,801,82.24652355909348,3301017
greedy8,0.97,801,94.82361777126789,3301018
greedy8,0.97,801,100.36504616162654,3301019
greedy8,0.97,802,90.91908960540935,3302000
greedy8,0.97,802,104.56193520119862,3302001
greedy8,0.97,802,94.98633834635714,3302002
greedy8,0.97,802,92.95165648517822,3302003
greedy8,0.97,802,93.03258863389492,3302004
greedy8,0.97,802,78.95010906457901,3302005
greedy8,0.97,802,104.6189536690712,3302006
greedy8,0.97,802,93.78907894343138,3302007
greedy8,0.97,802,95.95270621925593,3302008
greedy8,0.97,802,80.53724106401205,3302009
greedy8,0.97,802,95.79160285890103,3302010
greedy8,0.97,802,73.88487236201763,3302011
greedy8,0.97,802,88.54812171255087,3302012
greedy8,0.97,802,84.8562827333808,3302013
greedy8,0.97,802,89.91346408969879,3302014
greedy8,0.97,802,79.35119762271643,3302015
greedy8,0.97,802,88.46059402446919,3302016
greedy8,0.97,802,85.20029948949814,3302017
greedy8,0.97,802,93.76522306501866,3302018
greedy8,0.97,802,86.56968342661858,3302019
greedy8,0.97,803,82.66612967857091,3303000
greedy8,0.97,803,74.22261945903301,3303001
greedy8,0.97,803,97.90321860624604,3303002
greedy8,0.97,803,83.09449162483216,3303003
greedy8,0.97,803,73.68675594031811,3303004
greedy8,0.97,803,101.07707223630169,3303005
greedy8,0.97,803,87.18180678784847,3303006
greedy8,0.97,803,95.3944463133812,3303007
greedy8,0.97,803,104.06924032568932,3303008
greedy8,0.97,803,90.04345762285408,3303009
greedy8,0.97,803,86.62185780704021,3303010
greedy8,0.97,803,79.0372955352068,3303011
greedy8,0.97,803,81.94255071431398,3303012
greedy8,0.97,803,91.16240728646517,3303013
greedy8,0.97,803,76.90701031684875,3303014
greedy8,0.97,803,99.36620328424992,3303015
greedy8,0.97,803,56.427501276135445,3303016
greedy8,0.97,803,94.54163181781769,3303017
greedy8,0.97,803,78.21752208471298,3303018
greedy8,0.97,803,106.8887724878641,3303019
greedy8,0.97,804,89.41727127886838,3304000
greedy8,0.97,804,95.25510993564679,3304001
