policy,gamma,model_seed,total_cost,trace_seed
mpc4,0.99,800,91.16891210194566,3300000
mpc4,0.99,800,79.5761423587799,3300001
mpc4,0.99,800,80.86474648267031,3300002
mpc4,0.99,800,102.56644274157536,3300003
mpc4,0.99,800,98.58888146281242,3300004
mpc4,0.99,800,83.99733411669732,3300005
mpc4,0.99,800,82.29986935257912,3300006
mpc4,0.99,800,84.44440135438782,3300007
mpc4,0.99,800,119.02793174224085,3300008
mpc4,0.99,800,88.66965602338314,3300009
mpc4,0.99,800,91.66677295315264,3300010
mpc4,0.99,800,83.63990415036679,3300011
mpc4,0.99,800,99.25055491680499,3300012
mpc4,0.99,800,79.45459709614515,3300013
mpc4,0.99,800,82.98921789228916,3300014
mpc4,0.99,800,91.0651985257864,3300015
mpc4,0.99,800,81.5491748675704,3300016
mpc4,0.99,800,95.67690809475306,3300017
mpc4,0.99,800,98.14900805467751,3300018
mpc4,0.99,800,91.4617925286293,3300019
mpc4,0.99,801,110.10701107733497,3301000
mpc4,0.99,801,89.2624985665083,3301001
mpc4,0.99,801,106.10145536555768,3301002
mpc4,0.99,801,88.00726121068001,3301003
mpc4,0.99,801,80.75826501417238,3301004
mpc4,0.99,801,103.00915348515339,3301005
mpc4,0.99,801,83.4119451966213,3301006
mpc4,0.99,801,106.73448935226419,3301007
mpc4,0.99,801,83.37045807540417,3301008
mpc4,0.99,801,105.50348609272297,3301009
mpc4,0.99,801,106.12050029751373,3301010
mpc4,0.99,801,61.97487414777279,3301011
mpc4,0.99,801,95.02231948214552,3301012
mpc4,0.99,801,93.70561864875508,3301013
mpc4,0.99,801,94.42955655953872,3301014
mpc4,0.99,801,78.31151450574399,3301015
mpc4,0.99,801,77.24674246609212,3301016
mpc4,0.99,801,85.99563431739807,3301017
mpc4,0.99,801,97.49518473446369,3301018
mpc4,0.99,801,106.1502679041624,3301019
mpc4,0.99,802,91.70281830563665,3302000
mpc4,0.99,802,104.04394983832788,3302001
mpc4,0.99,802,93.82191936062932,3302002
mpc4,0.99,802,93.32503292032087,3302003
mpc4,0.99,802,103.95313248912728,3302004
mpc4,0.99,802,82.87787792086601,3302005
mpc4,0.99,802,101.7683577238117,3302006
mpc4,0.99,802,94.61119725043176,3302007
mpc4,0.99,802,101.38643967753221,3302008
mpc4,0.99,802,80.28702387958765,3302009
mpc4,0.99,802,96.5732798665762,3302010
mpc4,0.99,802,73.88487236201763,3302011
mpc4,0.99,802,85.56537468135357,3302012
mpc4,0.99,802,84.8562827333808,3302013
mpc4,0.99,802,93.44478892683983,3302014
mpc4,0.99,802,82.33819507062435,3302015
mpc4,0.99,802,91.99228178898917,3302016
mpc4,0.99,802,85.20029948949814,3302017
mpc4,0.99,802,94.64387929227422,3302018
mpc4,0.99,802,85.50916829109192,3302019
mpc4,0.99,803,88.46226599652752,3303000
mpc4,0.99,803,75.86571191251278,3303001
mpc4,0.99,803,99.3866410461572,3303002
mpc4,0.99,803,84.40441975613825,3303003
mpc4,0.99,803,72.6707733720541,3303004
mpc4,0.99,803,102.57533704638482,3303005
mpc4,0.99,803,90.88165191236797,3303006
mpc4,0.99,803,98.94531661272049,3303007
mpc4,0.99,803,104.51954657733441,3303008
mpc4,0.99,803,90.48235010632689,3303009
mpc4,0.99,803,87.34477387368679,3303010
mpc4,0.99,803,80.06038369238377,3303011
mpc4,0.99,803,83.04886722117662,3303012
mpc4,0.99,803,92.8504284067145,3303013
mpc4,0.99,803,78.5941596776247,3303014
mpc4,0.99,803,100.78675689007062,3303015
mpc4,0.99,803,64.14168434590101,3303016
mpc4,0.99,803,95.11526891589165,3303017
mpc4,0.99,803,78.97531563788652,3303018
mpc4,0.99,803,108.93870470184196,3303019
mpc4,0.99,804,94.62187831861849,3304000
mpc4,0.99,804,93.71761031837863,3304001
mpc4,0.99,804,90.27200415052015,3304002
mpc4,0.99,804,81.0203274667263,3304003
mpc4,0.99,804,67.4683083474636,3304004
mpc4,0.99,804,97.12602356970311,3304005
mpc4,0.99,804,97.0200408041402,3304006
mpc4,0.99,804,112.29285843174583,3304007
mpc4,0.99,804,76.54141275584698,3304008
mpc4,0.99,804,97.52311683592278,3304009
mpc4,0.99,804,91.56676090657712,3304010
mpc4,0.99,804,99.40791563689709,3304011
mpc4,0.99,804,91.0033829277286,3304012
mpc4,0.99,804,92.21705487710722,3304013
mpc4,0.99,804,75.6136840313673,3304014
mpc4,0.99,804,88.43529383353679,3304015
mpc4,0.99,804,86.9066643938847,3304016
mpc4,0.99,804,79.11723775631215,3304017
mpc4,0.99,804,105.05176277208483,3304018
mpc4,0.99,804,100.14190126538277,3304019
mpc4,0.99,805,101.36010310280534,3305000
mpc4,0.99,805,101.4563157487224,3305001
mpc4,0.99,805,67.68394044041634,3305002
mpc4,0.99,805,92.35623555556533,3305003
mpc4,0.99,805,114.45302059018046,3305004
mpc4,0.99,805,97.35169643908739,3305005
mpc4,0.99,805,97.14869168400764,3305006
mpc4,0.99,805,101.71381558060278,3305007
mpc4,0.99,805,100.26299628422461,3305008
mpc4,0.99,805,83.07908757030964,3305009
mpc4,0.99,805,95.85618236172235,3305010
mpc4,0.99,805,76.43766744881869,3305011
mpc4,0.99,805,80.81154692637551,3305012
mpc4,0.99,805,101.19519174098969,3305013
mpc4,0.99,805,70.28939072191716,3305014
mpc4,0.99,805,92.23206456154585,3305015
mpc4,0.99,805,92.03791853508926,3305016
mpc4,0.99,805,77.66453123092651,3305017
mpc4,0.99,805,109.652238521423,3305018
mpc4,0.99,805,82.9880305543542,3305019
mpc4,0.99,806,104.23767276179403,3306000
mpc4,0.99,806,95.45938005393168,3306001
mpc4,0.99,806,95.48245377242566,3306002
mpc4,0.99,806,68.72040748596191,3306003
mpc4,0.99,806,92.58591219782829,3306004
mpc4,0.99,806,96.26373504003695,3306005
mpc4,0.99,806,102.06728414082617,3306006
mpc4,0.99,806,107.1100429577579,3306007
mpc4,0.99,806,88.76033855974674,3306008
mpc4,0.99,806,95.0473483002337,3306009
mpc4,0.99,806,101.07758768066724,3306010
mpc4,0.99,806,72.45322214365005,3306011
mpc4,0.99,806,79.17431648820639,3306012
mpc4,0.99,806,85.1403566673398,3306013
mpc4,0.99,806,108.29100184950521,3306014
mpc4,0.99,806,89.93278256355096,3306015
mpc4,0.99,806,85.08742814660073,3306016
mpc4,0.99,806,85.30445689707994,3306017
mpc4,0.99,806,90.26858708400057,3306018
mpc4,0.99,806,87.82973704636098,3306019
mpc4,0.99,807,85.55581545978785,3307000
mpc4,0.99,807,98.18964639835689,3307001
mpc4,0.99,807,98.41490714401007,3307002
mpc4,0.99,807,74.56605308651925,3307003
mpc4,0.99,807,107.45347329305137,3307004
mpc4,0.99,807,107.13985766470432,3307005
mpc4,0.99,807,98.86626085788012,3307006
mpc4,0.99,807,86.88872718323502,3307007
mpc4,0.99,807,105.52868439034864,3307008
mpc4,0.99,807,104.3763611237804,3307009
mpc4,0.99,807,92.26220827177764,3307010
mpc4,0.99,807,67.16759560257196,3307011
mpc4,0.99,807,91.2548402747199,3307012
mpc4,0.99,807,92.84339368492365,3307013
mpc4,0.99,807,84.3807703399118,3307014
mpc4,0.99,807,86.45610932409764,3307015
mpc4,0.99,807,94.72152082828796,3307016
mpc4,0.99,807,80.46198751926423,3307017
mpc4,0.99,807,98.91921439021826,3307018
mpc4,0.99,807,78.70998032513177,3307019
mpc4,0.99,808,87.34275521337986,3308000
mpc4,0.99,808,89.79334553721688,3308001
mpc4,0.99,808,101.8219266897863,3308002
mpc4,0.99,808,106.3982404240172,3308003
mpc4,0.99,808,110.41364994495947,3308004
mpc4,0.99,808,105.09803953078926,3308005
mpc4,0.99,808,95.8073481745949,3308006
mpc4,0.99,808,85.19661233723164,3308007
mpc4,0.99,808,94.30910296142102,3308008
mpc4,0.99,808,101.66618397831917,3308009
mpc4,0.99,808,96.07586691144854,3308010
mpc4,0.99,808,63.33852022886276,3308011
mpc4,0.99,808,92.37427715382472,3308012
mpc4,0.99,808,94.8841849538297,3308013
mpc4,0.99,808,77.91371156275272,3308014
mpc4,0.99,808,94.52794615924358,3308015
mpc4,0.99,808,75.65218954682351,3308016
mpc4,0.99,808,97.4375473958514,3308017
mpc4,0.99,808,92.41440349775274,3308018
mpc4,0.99,808,93.24592807306811,3308019
mpc4,0.99,809,106.42269785912518,3309000
mpc4,0.99,809,87.0080989688635,3309001
mpc4,0.99,809,110.20262914346189,3309002
mpc4,0.99,809,83.9307439510554,3309003
mpc4,0.99,809,112.75229936554813,3309004
mpc4,0.99,809,82.80477129545187,3309005
mpc4,0.99,809,87.69416564106942,3309006
mpc4,0.99,809,89.57932313943154,3309007
mpc4,0.99,809,102.19725666979123,3309008
mpc4,0.99,809,85.09687294126104,3309009
mpc4,0.99,809,104.51328815104233,3309010
mpc4,0.99,809,84.37488919198513,3309011
mpc4,0.99,809,98.20543807301465,3309012
mpc4,0.99,809,92.4662333290143,3309013
mpc4,0.99,809,82.02691636383534,3309014
mpc4,0.99,809,81.1931513696909,3309015
mpc4,0.99,809,108.52115312107958,3309016
